Uniprot ID 1	Uniprot ID 2	Occurrences
P00749	P04004	1
P00749	Q03405	1
P04004	Q03405	1
P00766	P68390	1
P00780	P68390	1
P00777	P68390	15
P08246	P68390	1
P01241	P10912	1
P08709	P13726	1
P04439	P61769	26
P04439	P14079	1
P01850	P04439	8
P14079	P61769	1
P01850	P61769	10
P01850	P14079	1
P01563	P48551	2
P00698	P01837	6
P35804	P62593	2
P68036	Q05086	1
P01848	P04439	9
P01848	P61769	11
P01848	P01850	7
P01635	P01820	2
P00698	P01635	3
P00698	P01820	2
P09883	P13479	7
P01241	P16471	1
P01837	P01869	1
P01837	P15260	1
P01869	P15260	1
P01889	P61769	2
P01889	Q3KST2	1
P01848	P01889	2
P01850	P01889	2
P61769	Q3KST2	1
P01848	Q3KST2	1
P01850	Q3KST2	1
P01112	Q03386	1
P05112	P24394	1
O87916	P62593	1
P04141	P15509	2
P01857	Q9Y5Y6	1
P14434	P14483	2
P04141	P32927	1
P15509	P32927	1
P03950	P13489	1
P00766	P00767	1
P00767	P00974	1
P00766	P00974	1
P00760	P00974	10
P00648	P11540	6
P01112	P04049	2
P01889	P03206	1
P03206	P61769	1
P01848	P03206	1
P01850	P03206	1
P04482	P09883	1
P00974	Q9Y5Y6	1
P10600	P37173	1
P0AD64	P35804	3
P05000	P17181	1
P17181	P48551	2
P05000	P48551	1
P04439	P78358	3
P61769	P78358	3
P01635	P01646	1
A0NA69	P01635	1
P01646	P01820	1
A0NA69	P01820	1
A0NA69	P01646	1
O87916	Q93T42	1
P04224	P04230	1
P01848	P04224	1
P00039	P04224	1
P01848	P04230	1
P00039	P04230	1
P00039	P01848	1
Q12125	Q12154	1
Q12154	Q12285	1
Q12125	Q12285	1
P01837	P01865	1
P00698	P01865	1
P68871	P69905	1
P69905	Q8NW39	1
P68871	Q8NW39	1
P0C1Z0	P22303	1
P04058	P0C1Z0	1
P07363	P0AE67	1
P01112	P28829	1
P01857	P38507	1
P0CG48	P15374	1
P32628	P54860	1
P00782	Q40059	14
P07998	P13489	1
P01563	P17181	1
Q01196	Q13951	2
P12497	P62937	1
P01033	P03956	1
P04049	P62834	2
P02299	P05205	1
P12643	Q5D734	1
A6ND01	Q8IYV9	1
P0A9A6	P77173	1
P01909	P01920	1
P01909	Q2YD82	1
P01850	P01909	1
P01909	P04722	1
P01920	Q2YD82	1
P01850	P01920	1
P01920	P04722	1
P01850	Q2YD82	1
P04722	Q2YD82	1
P01850	P04722	1
P01837	P01868	2
P00698	P01868	1
P48510	P54860	1
P0A7H3	P0AGE0	1
O54901	Q9ES57	1
B1Q236	Q9U3P2	1
P00782	P01006	1
P13127	P14315	1
P13127	P58546	1
P14315	P58546	1
P01236	P16471	5
P01837	P13726	1
P01868	P13726	1
P04439	P0C213	2
P0C213	P61769	2
P0C1Z0	P21836	1
P26948	P26949	1
P26926	P26949	1
P26926	P26948	1
P01834	Q91MA7	1
Q91MA7	S6C4S0	1
P01834	S6C4S0	1
P01857	P19909	1
P00730	P01075	1
A0A0H3CIJ2	A0A0H3CIX8	1
P04439	Q16655	3
A0A075B6T6	P04439	1
A0A0K0K1A5	P04439	1
P61769	Q16655	3
A0A075B6T6	P61769	1
A0A0K0K1A5	P61769	1
A0A075B6T6	Q16655	1
A0A0K0K1A5	Q16655	1
A0A075B6T6	A0A0K0K1A5	1
O43924	P01116	1
P27870	P62993	1
P59594	Q9BYF1	1
P08476	P19883	1
A0ACD6B9A1	P38446	1
O95633	P08476	1
P07596	P29600	1
P22891	Q9UK55	1
O08689	P19883	1
O08689	O95633	1
B2RXS4	O15085	1
P19878	P63000	1
P00766	P01051	1
P00780	P01051	1
P0CG48	Q99816	1
P00004	P00431	1
P00044	P00431	5
Q6Q1S2	Q9BYF1	1
Q08636	Q08637	1
P43435	Q08636	1
