	CC_ID	SRVs	SRVs %	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
0	0	1659	39.79371551930919	104	168	171	3QDG_D,1IAR_A,3QDJ_E,4JFD_C,3SE4_A,1DVF_C,3QIB_A,2AK4_A,5C6T_A,5E9D_E,3SE9_L,4B0M_M,1DVF_D,2VLR_E,1FY8_E,1OGA_D,1YQV_Y,2AK4_E,2J8U_A,3D3V_C,1NMB_H,3PWP_C,3NCC_B,4I77_H,4KRO_B,2JCC_A,3N06_A,3G6D_H,3C60_D,1F5R_A,1XGP_B,1DVF_B,3BN9_D,4FTV_A,1DQJ_A,2BDN_L,4KRP_B,3H9S_A,1N8Z_A,1QSE_C,1JRH_H,2NYY_C,3SE8_L,5E9D_D,3SE9_H,4B0M_B,4NKQ_C,3L5X_L,3SE4_B,1KIR_A,2OI9_Q,3HFM_L,1VFB_B,3BN9_B,3MZG_A,3NGB_L,3C60_C,1BD2_E,3TGK_E,1AO7_A,1BD2_C,3SE4_C,4MNQ_C,1VFB_A,2B2X_L,1CZ8_L,3QIB_B,2AK4_D,1XGT_B,3N85_H,1N8Z_C,4KRL_B,2P5E_D,4B0M_A,4OZG_H,1JRH_I,1KIP_B,3SE8_H,4NKQ_B,1BD2_A,3NCB_A,1NCA_H,2BNQ_C,4JFF_C,1MI5_D,4L3E_E,4P23_D,1DQJ_B,2BNR_A,1MHP_H,3QFJ_C,1AO7_C,1BP3_A,1E50_A,3LB6_A,1XGQ_B,3D3V_E,2B2X_H,3QDG_E,3N0P_A,3QIB_P,5C6T_L,1A22_B,1KIQ_B,4RS1_B,1OGA_E,3HFM_Y,3QDJ_C,3NPS_A,2I26_N,3QDJ_D,4K71_A,4FTV_D,4I77_L,4JFE_C,1NMB_L,5C6T_H,1EAW_A,4L3E_A,1H9D_B,2NZ9_A,1YY9_D,1DQJ_C,3S9D_A,3N85_L,1MI5_E,2BNR_C,1XGR_B,4P5T_D,1AO7_E,3QIB_C,1AHW_C,1MLC_B,1JRH_L,4K71_B,4FTV_E,1DVF_A,1YY9_C,3NGB_H,4RS1_A,1N8Z_B,1XGU_B,4OZG_G,1MLC_A,1VFB_C,1E50_B,3MZG_B,1MHP_L,2E7L_Q,1DAN_T,3S9D_B,1DAN_U,1AO7_D,4P5T_C,2UWE_A,1DAN_H,2BDN_H,1BD2_D,2NYY_A,3HFM_H,1A22_A,4HRN_D,4L3E_D,3SE3_A,1BJ1_H,1OGA_A,3QIB_D,2NYY_D,2AK4_C,4P23_C,1LP9_A
1	1	49	1.1753418085871912	2	2	3	1A4Y_B,1Z7X_W,1A4Y_A
2	2	44	1.0554089709762533	0	109	18	1TM1_I,1Y1K_I,1SIB_I,1Y34_I,1TM4_I,1Y33_I,1Y3C_I,1TO1_I,1TM5_I,1TMG_I,1Y3D_I,1Y48_I,1CSE_I,1Y3B_I,1ACB_I,1SBN_I,1TM7_I,1TM3_I
3	3	17	0.4077716478771888	0	0	2	1AK4_D,1M9E_D
4	4	38	0.9114895658431278	4	26	10	1B2S_A,1B3S_D,1B3S_A,1X1W_D,1BRS_D,1BRS_A,1B2U_A,1B2U_D,1X1X_D,1B2S_D
5	5	40	0.9594627008875031	0	1	2	1B41_B,1FSS_B
6	6	193	4.629407531782202	10	18	27	1K8R_A,3M62_B,5UFE_A,5UFQ_A,1C1Y_A,1GUA_B,1LFD_A,3M63_A,5UFE_B,1K8R_B,1GRN_A,4G0N_A,5XCO_A,3EG5_A,1C1Y_B,1LFD_B,3KUD_B,1GUA_A,3M62_A,3KUD_A,4G0N_B,3Q3J_B,2REX_B,1XD3_B,1E96_A,2REX_A,5XCO_B
7	7	54	1.295274646198129	1	0	3	1C4Z_A,1S1Q_A,1C4Z_D
8	8	71	1.703046294075318	0	62	11	3BTT_I,3BTG_I,1CBW_I,3BTH_I,3BTD_I,3BTW_I,3BTF_I,3BTM_I,2FTL_I,3BTQ_I,3BTE_I
9	9	779	18.68553609978412	0	156	20	1R0R_I,1CT2_I,1SGY_I,3SGB_I,1CSO_I,1CHO_I,1CT4_I,2SGQ_I,2NU4_I,1CT0_I,2NU0_I,1PPF_I,2NU1_I,1SGD_I,1SGQ_I,1SGP_I,1SGE_I,2NU2_I,1SGN_I,2SGP_I
