	Uniprot_IDs_1	Uniprot_IDs_2	Occurrences
0	P00749	P04004	1
1	P04004	Q03405	1
2	P00749	Q03405	1
3	P00766	P68390	1
4	P00780	P68390	1
5	P00777	P68390	15
6	P08246	P68390	1
7	P01241	P10912	1
8	P08709	P13726	1
9	P04439	P61769	26
10	P04439	P14079	1
11	A0A075B6T6	P04439	2
12	P01848	P04439	13
13	P01850	P04439	10
14	P14079	P61769	1
15	A0A075B6T6	P61769	2
16	P01848	P61769	15
17	P01850	P61769	12
18	A0A075B6T6	P14079	1
19	P01848	P14079	1
20	P01850	P14079	1
21	A0A075B6T6	P01848	1
22	A0A075B6T6	P01850	1
23	P01848	P01850	10
24	P01563	P48551	2
25	P00698	P01837	6
26	P35804	P62593	2
27	P01730	P04578	1
28	P18614	P18614	1
29	P68036	Q05086	1
30	P00698	P01820	2
31	P00698	P01635	3
32	P01635	P01820	2
33	P09883	P13479	7
34	P01241	P16471	1
35	P0AA04	P0AA04	1
36	P01869	P15260	1
37	P01837	P15260	1
38	P01837	P01869	1
39	Q0ED31	Q0ED31	3
40	P01889	P61769	2
41	P61769	Q3KST2	1
42	P01848	P01889	2
43	P01889	Q3KST2	1
44	P01850	P01889	2
45	P01848	Q3KST2	1
46	P01850	Q3KST2	1
47	P01112	Q03386	1
48	P05112	P24394	1
49	O87916	P62593	1
50	P04141	P15509	2
51	P01857	Q9Y5Y6	1
52	P14434	P14483	3
53	P04141	P32927	1
54	P15509	P32927	1
55	P03950	P13489	1
56	P00767	P00974	1
57	P00766	P00974	1
58	P00766	P00767	1
59	P00760	P00974	10
60	P00648	P11540	6
61	P0DPI1	P0DPI1	2
62	P01112	P04049	2
63	P03206	P61769	1
64	P01889	P03206	1
65	P01848	P03206	1
66	P01850	P03206	1
67	P04482	P09883	1
68	P00974	Q9Y5Y6	1
69	P10600	P37173	1
70	P0AD64	P35804	3
71	Q9Y5Y6	Q9Y5Y6	1
72	P05000	P17181	1
73	P05000	P48551	1
74	P17181	P48551	2
75	A0A0B4J279	P04439	2
76	A0A0B4J279	P78358	2
77	A0A0B4J279	P61769	2
78	A0A0B4J279	P01848	2
79	A0A0B4J279	A0A0K0K1A5	2
80	A0A0B4J279	P01850	2
81	P04439	P78358	3
82	A0A0K0K1A5	P04439	4
83	P61769	P78358	3
84	P01848	P78358	3
85	A0A0K0K1A5	P78358	2
86	P01850	P78358	2
87	A0A0K0K1A5	P61769	4
88	A0A0K0K1A5	P01848	3
89	A0A0K0K1A5	P01850	2
90	A0NA69	P01820	1
91	A0NA69	P01635	1
92	A0NA69	P01646	1
93	P01646	P01820	1
94	P01635	P01646	1
95	O87916	Q93T42	1
96	P00039	P01848	1
97	P00039	P04224	1
98	P00039	P04230	1
99	P01848	P04224	1
100	P01848	P04230	1
101	P04224	P04230	1
102	Q12125	Q12285	1
103	Q12125	Q12154	1
104	Q12154	Q12285	1
105	P00698	P01865	1
106	P01837	P01865	1
107	P68871	P69905	1
108	P69905	Q8NW39	1
109	P68871	Q8NW39	1
110	P0C1Z0	P22303	1
111	P04058	P0C1Z0	1
112	P07363	P0AE67	1
113	P01112	P28829	1
114	P01857	P38507	1
115	P0CG48	P15374	1
116	P32628	P54860	1
117	P13201	P13201	1
118	P00782	Q40059	14
119	P07998	P13489	1
120	P01563	P17181	1
121	Q01196	Q13951	2
122	P12497	P62937	1
123	P00533	P00533	4
124	P01033	P03956	1
125	P04049	P62834	2
126	A0AEF4	A0AEF4	1
127	P02299	P05205	1
128	P12643	Q5D734	1
129	A6ND01	Q8IYV9	1
130	P0A9A6	P77173	1
131	P04626	P04626	3
132	P13500	P13500	1
133	P35225	P35225	3
134	P01909	P01920	1
135	P01920	P04722	1
136	P01920	Q2YD82	1
137	P01850	P01920	1
138	P01909	P04722	1
139	P01909	Q2YD82	1
140	P01850	P01909	1
141	P04722	Q2YD82	1
142	P01850	P04722	1
143	P01850	Q2YD82	1
144	P00698	P01868	1
145	P01837	P01868	2
146	O15151	O15151	1
147	P48510	P54860	1
148	P0A7H3	P0AGE0	1
149	O54901	Q9ES57	1
150	B1Q236	Q9U3P2	1
151	P01116	P01116	3
152	P15692	P15692	2
153	P0A0L5	P0A0L5	1
154	P00782	P01006	1
155	P13127	P58546	1
156	P14315	P58546	1
157	P13127	P14315	1
158	Q00987	Q00987	2
159	P01236	P16471	5
160	P01868	P13726	1
161	P01837	P13726	1
162	P04437	P04439	1
163	P04437	P0C213	1
164	P04437	P61769	1
165	P01848	P04437	1
166	A0A5B9	P04437	1
167	A0A0K0K1A5	P04437	1
168	P04439	P0C213	2
169	A0A5B9	P04439	1
170	P0C213	P61769	2
171	P01848	P0C213	1
172	A0A5B9	P0C213	1
173	A0A0K0K1A5	P0C213	1
174	A0A5B9	P61769	1
175	A0A5B9	P01848	1
176	A0A0K0K1A5	A0A5B9	1
177	P0C1Z0	P21836	1
178	P26948	P26949	1
179	P26926	P26949	1
180	P26926	P26948	1
181	P01834	Q91MA7	1
182	P01834	S6C4S0	1
183	Q91MA7	S6C4S0	1
184	P01857	P19909	1
185	P05803	P05803	1
186	P00730	P01075	1
187	O48541	Q2V8X0	1
188	A0A0H3CIJ2	A0A0H3CIX8	1
189	P04578	P04578	1
190	P04439	Q16655	3
191	P61769	Q16655	3
192	A0A075B6T6	Q16655	1
193	A0A0K0K1A5	Q16655	1
194	A0A075B6T6	A0A0K0K1A5	1
195	O43924	P01116	1
196	P27870	P62993	1
197	P59594	Q9BYF1	1
198	P08476	P19883	1
199	A0ACD6B9A1	P38446	1
200	O95633	P08476	1
201	P07596	P29600	1
202	P22891	Q9UK55	1
203	O08689	P19883	1
204	O08689	O95633	1
205	B2RXS4	O15085	1
206	P19878	P63000	1
207	P00766	P01051	1
208	P00780	P01051	1
209	P0CG48	Q99816	1
210	P00004	P00431	1
211	P00044	P00431	5
212	Q6Q1S2	Q9BYF1	1
213	P43455	Q08636	1
214	P43435	P43455	1
215	P43455	Q08637	1
216	P43435	Q08636	1
217	Q08636	Q08637	1
218	P43435	Q08637	1
219	P32851	P61765	1
220	P01848	Q16655	1
221	P01850	Q16655	1
222	P55899	P61769	1
223	P02768	P61769	1
224	P02768	P55899	1
225	P29320	P52803	1
226	P01857	P12314	1
227	Q61730	Q64487	1
228	P00760	P01062	1
229	P00698	Q9HXB1	1
230	P43686	Q9Z2X2	1
231	O15357	P29317	1
232	P21549	P50542	1
233	P81274	Q1MX18	1
234	O15392	P68431	2
235	P54253	Q96RK0	1
236	P59823	Q64487	1
237	G0SCK6	G0SFB5	2
238	A3DGE8	Q06853	1
239	P01865	P03472	1
240	P05019	P22692	2
241	P00698	P00698	3
242	P02584	P60712	1
243	P30530	Q14393	2
244	P05019	P08833	1
245	P08833	P22692	1
246	P35225	Q14627	1
247	P01552	P01552	1
248	Q9P289	Q9Y376	1
249	Q16552	Q96F46	1
250	P43631	P61769	1
251	P04439	P43631	1
252	P43631	Q76ZQ3	1
253	P61769	Q76ZQ3	1
254	P04439	Q76ZQ3	1
255	Q9Y376	Q9Y6E0	1
256	Q80TS3	Q8BGT1	1
257	P45481	Q9Y6Q9	1
258	P04439	Q9NPA0	4
259	P04213	Q9NPA0	3
260	P01849	Q9NPA0	3
261	P61769	Q9NPA0	4
262	P04213	P04439	3
263	P01849	P04439	3
264	P01849	P04213	2
265	P04213	P61769	3
266	P01849	P61769	3
267	P00766	P23827	1
268	P01552	P01852	1
269	Q7Z6A9	Q92956	1
270	P01868	P18614	1
271	P18429	Q8H0K8	1
272	P22307	P50542	1
273	P46655	P46672	1
274	P78310	Q65914	1
275	P0CH28	Q13191	1
276	P04626	P38507	1
277	O50147	Q9ZND7	1
278	Q9HY79	Q9HY80	1
279	P21279	Q01970	1
280	O00506	Q9Y376	1
281	P03406	P06241	1
282	P00763	P00974	3
283	P36711	P78310	3
284	P84022	Q13485	1
285	P11233	P15879	1
286	P01024	P68799	1
287	P52799	P54760	1
288	P00698	Q8JGG7	1
289	O43157	Q92730	1
290	P03437	Q99LC4	2
291	P50456	P69786	1
292	Q9WFX3	Q9WFX3	2
293	O60486	Q8JL80	1
294	O60486	O75326	1
295	Q5SYB0	Q8VDU0	1
296	K7N5N2	P04439	1
297	H2RG00	P04439	1
298	O14746	P04439	1
299	H2RG00	K7N5N2	1
300	K7N5N2	P61769	1
301	K7N5N2	P01850	1
302	K7N5N2	O14746	1
303	H2RG00	P61769	1
304	H2RG00	P01850	1
305	H2RG00	O14746	1
306	O14746	P61769	1
307	O14746	P01850	1
308	P07612	P07612	1
309	P81274	Q14CM0	1
310	Q64487	Q810C0	1
311	W6A0A7	W6A0A7	1
312	P00766	P80060	2
313	P60953	Q07960	1
314	P01112	P48736	1
315	P62937	Q72497	1
316	P12643	P36894	1
317	P00782	P01051	2
318	P04637	Q13625	1
319	A2NTU7	A2NTY6	1
320	A2NTY6	P01897	2
321	A2NTU7	P01897	1
322	P78310	Q80S15	1
323	P00777	P68436	2
324	A2NTY6	P01738	1
325	P01738	P01897	1
326	P03485	P04439	1
327	P03485	P61769	1
328	P01848	P03485	1
329	P01850	P03485	1
330	A6QG59	P01024	2
331	O08808	P60766	1
332	P38110	P61769	1
333	P04439	P38110	1
334	O75051	Q92730	1
335	P18010	P18206	1
336	Q15223	Q69091	1
337	P21279	P41220	1
338	O14508	P83940	1
339	O14508	P62869	1
340	O14508	Q93034	1
341	P62869	P83940	1
342	P83940	Q93034	1
343	P62869	Q93034	1
344	P76015	P76016	1
345	P03172	Q15223	1
