From	Entry	Reviewed	Length
1CSE	P00780	reviewed	379
1CSE	P01051	reviewed	70
1ACB	P01051	reviewed	70
1ACB	P00766	reviewed	245
1SBN	P00782	reviewed	382
1SBN	P01051	reviewed	70
1SIB	P00782	reviewed	382
1SIB	P01051	reviewed	70
1TM1	P00782	reviewed	382
1Y1K	P00782	reviewed	382
1Y33	P00782	reviewed	382
1Y34	P00782	reviewed	382
1Y3B	P00782	reviewed	382
1Y3C	P00782	reviewed	382
1Y48	P00782	reviewed	382
1Y3D	P00782	reviewed	382
1TM4	P00782	reviewed	382
1TM5	P00782	reviewed	382
1TM3	P00782	reviewed	382
1TM7	P00782	reviewed	382
1TMG	P00782	reviewed	382
1TO1	P00782	reviewed	382
2SIC	P00782	reviewed	382
2SIC	P01006	reviewed	144
1IAR	P05112	reviewed	153
1IAR	P24394	reviewed	825
1BRS	P00648	reviewed	157
1BRS	P11540	reviewed	90
1B2U	P00648	reviewed	157
1B2U	P11540	reviewed	90
1B2S	P00648	reviewed	157
1B2S	P11540	reviewed	90
1B3S	P00648	reviewed	157
1B3S	P11540	reviewed	90
1X1W	P00648	reviewed	157
1X1W	P11540	reviewed	90
1X1X	P00648	reviewed	157
1X1X	P11540	reviewed	90
1SBB	P01852	reviewed	173
1SBB	P01552	reviewed	266
1JCK	P0A0L5	reviewed	266
1GCQ	P27870	reviewed	845
1GCQ	P62993	reviewed	217
1E96	P19878	reviewed	526
1E96	P63000	reviewed	192
1AK4	P12497	reviewed	1435
1AK4	P62937	reviewed	165
1M9E	P62937	reviewed	165
2B42	P18429	reviewed	213
2I26	P00698	reviewed	147
2HLE	P52799	reviewed	333
2HLE	P54760	reviewed	987
3BT1	P00749	reviewed	431
3BT1	P04004	reviewed	478
3BT1	Q03405	reviewed	335
1AHW	P01837	reviewed	107
1AHW	P01868	reviewed	324
1AHW	P13726	reviewed	295
1UUZ	Q9HXB1	reviewed	153
1UUZ	P00698	reviewed	147
1DVF	P01635	reviewed	115
1DVF	P01646	reviewed	108
1DVF	P01820	reviewed	115
1VFB	P01635	reviewed	115
1VFB	P01820	reviewed	115
1VFB	P00698	reviewed	147
1EFN	P03406	reviewed	206
1EFN	P06241	reviewed	537
2GOX	P68799	reviewed	165
2GOX	P01024	reviewed	1663
3D5S	A6QG59	reviewed	165
3D5S	P01024	reviewed	1663
3D5R	A6QG59	reviewed	165
3D5R	P01024	reviewed	1663
3BP8	P50456	reviewed	406
3BP8	P69786	reviewed	477
2VIS	P03437	reviewed	566
2VIR	P03437	reviewed	566
2HRK	P46655	reviewed	708
2HRK	P46672	reviewed	376
2WPT	P04482	reviewed	86
2WPT	P09883	reviewed	582
2VLP	P09883	reviewed	582
2VLP	P13479	reviewed	86
2VLN	P09883	reviewed	582
2VLN	P13479	reviewed	86
2VLQ	P09883	reviewed	582
2VLQ	P13479	reviewed	86
2VLO	P09883	reviewed	582
2VLO	P13479	reviewed	86
1EMV	P09883	reviewed	582
1EMV	P13479	reviewed	86
1FR2	P09883	reviewed	582
1FR2	P13479	reviewed	86
2GYK	P09883	reviewed	582
2GYK	P13479	reviewed	86
1KIQ	P01635	reviewed	115
1KIQ	P00698	reviewed	147
1KIP	P01635	reviewed	115
1KIP	P00698	reviewed	147
1KIR	P01820	reviewed	115
1KIR	P00698	reviewed	147
2B0Z	P00044	reviewed	109
2B0Z	P00431	reviewed	361
2B10	P00044	reviewed	109
2B10	P00431	reviewed	361
2B11	P00044	reviewed	109
2B11	P00431	reviewed	361
2B12	P00044	reviewed	109
2B12	P00431	reviewed	361
2PCC	P00044	reviewed	109
2PCC	P00431	reviewed	361
2PCB	P00431	reviewed	361
2PCB	P00004	reviewed	105
2JEL	P0AA04	reviewed	85
2OOB	Q13191	reviewed	982
2OOB	P0CH28	reviewed	690
2O3B	P38446	reviewed	274
2J0T	P01033	reviewed	207
2J0T	P03956	reviewed	469
2C0L	P22307	reviewed	547
2C0L	P50542	reviewed	639
2BTF	P02584	reviewed	140
2BTF	P60712	reviewed	375
2AJF	P59594	reviewed	1255
2AJF	Q9BYF1	reviewed	805
2A9K	P15879	reviewed	251
2A9K	P11233	reviewed	206
4CPA	P01075	reviewed	39
4CPA	P00730	reviewed	419
1XD3	P0CG48	reviewed	685
1XD3	P15374	reviewed	230
1S1Q	P0CG48	reviewed	685
1S1Q	Q99816	reviewed	390
1NCA	P01865	reviewed	398
1NCA	P03472	reviewed	470
1N8O	P23827	reviewed	162
1N8O	P00766	reviewed	245
1MAH	P21836	reviewed	614
1MAH	P0C1Z0	reviewed	61
1LFD	Q03386	reviewed	895
1LFD	P01112	reviewed	189
