	PDB	Chain ID	Molecule Type	Unnamed: 0	Uniprot ID	Chain	Covered Residues	Declared_Coverage	Length	Coverage	Resolution (Å)	Chain PDB ID
0	3BT1	A	polypeptide(L)	0.0	P00749	A	132.0	0.324	431.0	0.3062645011600928	2.8	3BT1_A
1	3BT1	B	polypeptide(L)	1.0	P04004	B	39.0	0.087	478.0	0.0815899581589958	2.8	3BT1_B
2	3BT1	U	polypeptide(L)	2.0	Q03405	U	280.0	0.898	335.0	0.835820895522388	2.8	3BT1_U
3	3SGB	E	polypeptide(L)	3.0	P00777	E	184.0	0.709	299.0	0.6153846153846154	1.8	3SGB_E
4	3SGB	I	polypeptide(L)	4.0	P68390	I	55.0	0.303	185.0	0.2972972972972973	1.8	3SGB_I
5	1CHO	E	polypeptide(L)	5.0	P00766	E	12.0	0.053	245.0	0.0489795918367346	1.8	1CHO_E
6	1CHO	F	polypeptide(L)	6.0	P00766	F	130.0	0.535	245.0	0.5306122448979592	1.8	1CHO_F
7	1CHO	G	polypeptide(L)	7.0	P00766	G	96.0	0.396	245.0	0.3918367346938775	1.8	1CHO_G
8	1CHO	I	polypeptide(L)	8.0	P68390	I	55.0	0.303	185.0	0.2972972972972973	1.8	1CHO_I
9	1R0R	E	polypeptide(L)	9.0	P00780	E	273.0	0.783	379.0	0.7203166226912929	1.1	1R0R_E
10	1R0R	I	polypeptide(L)	10.0	P68390	I	50.0	0.276	185.0	0.2702702702702703	1.1	1R0R_I
11	1PPF	E	polypeptide(L)	11.0	P08246	E	217.0	0.908	267.0	0.8127340823970037	1.8	1PPF_E
12	1PPF	I	polypeptide(L)	12.0	P68390	I	55.0	0.303	185.0	0.2972972972972973	1.8	1PPF_I
13	1A22	A	polypeptide(L)	13.0	P01241	A	190.0	1.0	217.0	0.8755760368663594	2.6	1A22_A
14	1A22	B	polypeptide(L)	14.0	P10912	B	237.0	0.384	638.0	0.3714733542319749	2.6	1A22_B
15	1DAN	L	polypeptide(L)	16.0	P08709	L	151.0	0.341	466.0	0.3240343347639485	2.0	1DAN_L
16	1DAN	H	polypeptide(L)	15.0	P08709	H	253.0	0.57	466.0	0.5429184549356223	2.0	1DAN_H
17	1DAN	T	polypeptide(L)	17.0	P13726	T	79.0	0.304	295.0	0.2677966101694915	2.0	1DAN_T
18	1DAN	U	polypeptide(L)	18.0	P13726	U	120.0	0.46	295.0	0.4067796610169492	2.0	1DAN_U
19	1AO7	A	polypeptide(L)	19.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	2.6	1AO7_A
20	1AO7	B	polypeptide(L)	20.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.6	1AO7_B
21	1AO7	C	polypeptide(L)	21.0	P14079	C	8.0	0.025	353.0	0.0226628895184136	2.6	1AO7_C
22	1AO7	D	polypeptide(L)	22.0	A0A075B6T6	D	89.0	0.968	113.0	0.7876106194690266	2.6	1AO7_D
23	1AO7	D	polypeptide(L)	23.0	P01848	D	92.0	0.664	140.0	0.6571428571428571	2.6	1AO7_D
24	1AO7	E	polypeptide(L)	24.0	P01850	E	128.0	0.733	176.0	0.7272727272727273	2.6	1AO7_E
25	3S9D	A	polypeptide(L)	25.0	P01563	A	164.0	1.0	188.0	0.8723404255319149	1.9999	3S9D_A
26	3S9D	C	polypeptide(L)	26.0	P01563	C	164.0	1.0	188.0	0.8723404255319149	1.9999	3S9D_C
27	3S9D	B	polypeptide(L)	27.0	P48551	B	195.0	0.401	515.0	0.3786407766990291	1.9999	3S9D_B
28	3S9D	D	polypeptide(L)	28.0	P48551	D	195.0	0.401	515.0	0.3786407766990291	1.9999	3S9D_D
29	3HFM	L	polypeptide(L)	29.0	P01837	L	106.0	1.0	107.0	0.9906542056074766	3.0	3HFM_L
30	3HFM	H	polypeptide(L)									3HFM_H
31	3HFM	Y	polypeptide(L)	30.0	P00698	Y	128.0	1.0	147.0	0.8707482993197279	3.0	3HFM_Y
32	1JTG	A	polypeptide(L)	31.0	P62593	A	262.0	1.0	286.0	0.916083916083916	1.73	1JTG_A
33	1JTG	C	polypeptide(L)	32.0	P62593	C	262.0	1.0	286.0	0.916083916083916	1.73	1JTG_C
34	1JTG	B	polypeptide(L)	33.0	P35804	B	164.0	1.0	201.0	0.8159203980099502	1.73	1JTG_B
35	1JTG	D	polypeptide(L)	34.0	P35804	D	164.0	1.0	201.0	0.8159203980099502	1.73	1JTG_D
36	1GC1	G	polypeptide(L)	36.0	P04578	G	44.0	0.377	856.0	0.0514018691588785	2.5	1GC1_G
37	1GC1	G	polypeptide(L)	37.0	P04578	G	102.0	0.377	856.0	0.1191588785046729	2.5	1GC1_G
38	1GC1	G	polypeptide(L)	38.0	P04578	G	162.0	0.377	856.0	0.1892523364485981	2.5	1GC1_G
39	1GC1	C	polypeptide(L)	35.0	P01730	C	184.0	0.427	458.0	0.4017467248908297	2.5	1GC1_C
40	1GC1	L	polypeptide(L)									1GC1_L
41	1GC1	H	polypeptide(L)									1GC1_H
42	1MHP	A	polypeptide(L)	39.0	P18614	A	191.0	0.167	1180.0	0.161864406779661	2.8	1MHP_A
43	1MHP	B	polypeptide(L)	40.0	P18614	B	191.0	0.167	1180.0	0.161864406779661	2.8	1MHP_B
44	1MHP	H	polypeptide(L)									1MHP_H
45	1MHP	X	polypeptide(L)									1MHP_X
46	1MHP	L	polypeptide(L)									1MHP_L
47	1MHP	Y	polypeptide(L)									1MHP_Y
48	1OGA	A	polypeptide(L)	41.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	1.4	1OGA_A
49	1OGA	B	polypeptide(L)	42.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	1.4	1OGA_B
50	1OGA	C	polypeptide(L)									1OGA_C
51	1OGA	D	polypeptide(L)	43.0	P01848	D	91.0	0.657	140.0	0.65	1.4	1OGA_D
52	1OGA	E	polypeptide(L)	44.0	P01850	E	128.0	0.733	176.0	0.7272727272727273	1.4	1OGA_E
53	1C4Z	A	polypeptide(L)	45.0	Q05086	A	357.0	0.409	875.0	0.408	2.6	1C4Z_A
54	1C4Z	B	polypeptide(L)	46.0	Q05086	B	357.0	0.409	875.0	0.408	2.6	1C4Z_B
55	1C4Z	C	polypeptide(L)	47.0	Q05086	C	357.0	0.409	875.0	0.408	2.6	1C4Z_C
56	1C4Z	D	polypeptide(L)	48.0	P68036	D	153.0	1.0	154.0	0.9935064935064936	2.6	1C4Z_D
57	1VFB	A	polypeptide(L)	49.0	P01635	A	94.0	1.0	115.0	0.8173913043478261	1.8	1VFB_A
58	1VFB	B	polypeptide(L)	50.0	P01820	B	95.0	1.0	115.0	0.8260869565217391	1.8	1VFB_B
59	1VFB	C	polypeptide(L)	51.0	P00698	C	128.0	1.0	147.0	0.8707482993197279	1.8	1VFB_C
60	1EMV	A	polypeptide(L)	52.0	P13479	A	85.0	1.0	86.0	0.9883720930232558	1.7	1EMV_A
61	1EMV	B	polypeptide(L)	53.0	P09883	B	132.0	0.229	582.0	0.2268041237113402	1.7	1EMV_B
62	1BP3	A	polypeptide(L)	54.0	P01241	A	190.0	1.0	217.0	0.8755760368663594	2.9	1BP3_A
63	1BP3	B	polypeptide(L)	55.0	P16471	B	210.0	0.353	622.0	0.337620578778135	2.9	1BP3_B
64	2JEL	L	polypeptide(L)									2JEL_L
65	2JEL	H	polypeptide(L)									2JEL_H
66	2JEL	P	polypeptide(L)	56.0	P0AA04	P	84.0	1.0	85.0	0.9882352941176472	2.5	2JEL_P
67	1JRH	L	polypeptide(L)	59.0	P01837	L	106.0	1.0	107.0	0.9906542056074766	2.8	1JRH_L
68	1JRH	H	polypeptide(L)	57.0	P01869	H	96.0	0.247	393.0	0.2442748091603053	2.8	1JRH_H
69	1JRH	I	polypeptide(L)	58.0	P15260	I	107.0	0.229	489.0	0.2188139059304703	2.8	1JRH_I
70	3NGB	A	polypeptide(L)	60.0	Q0ED31	A	79.0	0.403	857.0	0.0921820303383897	2.68	3NGB_A
71	3NGB	A	polypeptide(L)	61.0	Q0ED31	A	102.0	0.403	857.0	0.1190198366394399	2.68	3NGB_A
72	3NGB	A	polypeptide(L)	62.0	Q0ED31	A	161.0	0.403	857.0	0.1878646441073512	2.68	3NGB_A
73	3NGB	D	polypeptide(L)	63.0	Q0ED31	D	79.0	0.403	857.0	0.0921820303383897	2.68	3NGB_D
74	3NGB	D	polypeptide(L)	64.0	Q0ED31	D	102.0	0.403	857.0	0.1190198366394399	2.68	3NGB_D
75	3NGB	D	polypeptide(L)	65.0	Q0ED31	D	161.0	0.403	857.0	0.1878646441073512	2.68	3NGB_D
76	3NGB	G	polypeptide(L)	66.0	Q0ED31	G	79.0	0.403	857.0	0.0921820303383897	2.68	3NGB_G
77	3NGB	G	polypeptide(L)	67.0	Q0ED31	G	102.0	0.403	857.0	0.1190198366394399	2.68	3NGB_G
78	3NGB	G	polypeptide(L)	68.0	Q0ED31	G	161.0	0.403	857.0	0.1878646441073512	2.68	3NGB_G
