From	Entry
3BT1	P00749
3BT1	P04004
3BT1	Q03405
3SGB	P00777
3SGB	P68390
1CHO	P68390
1CHO	P00766
1R0R	P00780
1R0R	P68390
1PPF	P68390
1PPF	P08246
1A22	P01241
1A22	P10912
1DAN	P08709
1DAN	P13726
1AO7	P14079
1AO7	A0A075B6T6
1AO7	A0A0K0K1A5
1AO7	A0A5B9
1AO7	P01848
1AO7	P01850
1AO7	P04439
1AO7	P61769
3S9D	P01563
3S9D	P48551
3HFM	P01837
3HFM	P00698
1JTG	P35804
1JTG	P62593
1GC1	P04578
1GC1	P01730
1MHP	P18614
1OGA	P01848
1OGA	P01850
1OGA	P04439
1OGA	P0DSE1
1OGA	P0DSE2
1OGA	P61769
1C4Z	P68036
1C4Z	Q05086
1VFB	P01635
1VFB	P01820
1VFB	P00698
1EMV	P09883
1EMV	P13479
1BP3	P01241
1BP3	P16471
2JEL	P0AA04
1JRH	P01837
1JRH	P01869
1JRH	P15260
1MI5	Q3KST2
1MI5	P01848
1MI5	P01850
1MI5	P01889
1MI5	P61769
1LFD	Q03386
1LFD	P01112
4RS1	P04141
4RS1	P15509
1IAR	P05112
1IAR	P24394
1JTD	P62593
3C60	P14434
3C60	P14483
3BN9	P01764
3BN9	P01834
3BN9	P01857
3BN9	Q9Y5Y6
4NKQ	P04141
4NKQ	P15509
4NKQ	P32927
1A4Y	P03950
1A4Y	P13489
1CBW	P00766
1CBW	P00767
1CBW	P00974
2FTL	P00760
2FTL	P00974
4G0N	P01112
4G0N	P04049
2NYY	P0DPI1
1BRS	P00648
1BRS	P11540
2WPT	P04482
2WPT	P09883
2AK4	P03206
2AK4	P01848
2AK4	P01850
2AK4	P01889
2AK4	P61769
2G2U	P35804
2G2U	P0AD64
3NPS	Q9Y5Y6
1KTZ	P10600
1KTZ	P37173
3SE4	P05000
3SE4	P17181
3SE4	P48551
1EAW	Q9Y5Y6
1EAW	P00974
4P23	P14434
4P23	P14483
2BNR	A0A0B4J279
2BNR	A0A0K0K1A5
2BNR	P01848
2BNR	P01850
2BNR	P04439
2BNR	P61769
2BNR	P78358
4P5T	P14434
4P5T	P14483
4PWX	Q12125
4PWX	Q12154
4PWX	Q12285
1DVF	P01635
1DVF	P01646
1DVF	P01820
3QIB	P04224
3QIB	P04230
3QIB	P00039
3QIB	P01848
1DQJ	P01837
1DQJ	P01865
1DQJ	P00698
3SZK	Q8NW39
3SZK	P68871
3SZK	P69905
1B41	P0C1Z0
1B41	P22303
1FSS	P04058
1FSS	P0C1Z0
1K8R	P28829
1K8R	P01112
2NZ9	P0DPI1
1FFW	P07363
1FFW	P0AE67
3M62	P32628
3M62	P54860
1XD3	P0CG48
1XD3	P15374
1FC2	P38507
1FC2	P01857
5C6T	P13201
1Z7X	P07998
1Z7X	P13489
3SE3	P01563
3SE3	P17181
3SE3	P48551
1TM1	P00782
1E50	Q01196
1E50	Q13951
1YY9	P00533
1AK4	P12497
1AK4	P62937
2J0T	P01033
2J0T	P03956
3QDJ	P01848
3QDJ	P04439
3QDJ	P61769
1C1Y	P04049
1C1Y	P62834
3QDG	P01848
3QDG	P04439
3QDG	P61769
1KNE	P02299
1KNE	P05205
5F4E	A6ND01
5F4E	Q8IYV9
3BK3	P12643
1N8Z	P04626
4I77	P35225
1F47	P0A9A6
1F47	P77173
4OZG	P18573
4OZG	P01850
4OZG	P01909
4OZG	P01920
1GUA	P04049
1GUA	P62834
2BDN	P13500
5XCO	P01116
3Q8D	P28044
3Q8D	P0A7H3
3EQY	O15151
4OFY	B1Q236
4OFY	Q9U3P2
4BFI	O54901
4BFI	Q9ES57
1MLC	P01837
1MLC	P01868
1MLC	P00698
3M63	P48510
3M63	P54860
3AAA	P13127
3AAA	P14315
3AAA	P58546
3MZG	P01236
3MZG	P16471
2SIC	P00782
2SIC	P01006
1JCK	P0A0L5
3EQS	Q00987
1BJ1	P15692
1MAH	P21836
1MAH	P0C1Z0
1BD2	P14079
1BD2	P0C213
1BD2	A0A0K0K1A5
1BD2	A0A5B9
1BD2	P01848
1BD2	P04437
1BD2	P04439
1BD2	P61769
1AHW	P01837
1AHW	P01868
1AHW	P13726
4NM8	Q91MA7
4NM8	P01834
3N85	P04626
4B0M	P26926
4B0M	P26948
4B0M	P26949
4CPA	P01075
4CPA	P00730
1FCC	P19909
1FCC	P01857
5E9D	A0A075B6T6
5E9D	P04439
5E9D	P61769
5E9D	Q16655
4JPK	P04578
5TAR	O43924
5TAR	P01116
1NMB	P05803
5E6P	B2RXS4
5E6P	O15085
2O3B	P38446
4L3E	P04439
4L3E	P61769
4L3E	Q16655
2AJF	P59594
2AJF	Q9BYF1
2B0U	P08476
2B0U	P19883
1GCQ	P27870
1GCQ	P62993
3SEK	O08689
3SEK	O95633
3F1S	P22891
3F1S	Q9UK55
3HH2	O08689
3HH2	P19883
3B4V	O95633
3B4V	P08476
3BX1	P29600
3BX1	P07596
4L0P	P29320
4L0P	P52803
1E96	P19878
1E96	P63000
1ACB	P01051
1ACB	P00766
4K71	P02768
4K71	P55899
4K71	P61769
4FTV	P0C213
4FTV	P04439
4FTV	P61769
4JFF	P01848
4JFF	P01850
4JFF	P04439
4JFF	P61769
4JFF	Q16655
4X4M	P01857
4X4M	P12314
4JEU	P32851
4JEU	P61765
3VR6	P43435
3VR6	P43455
3VR6	Q08636
3VR6	Q08637
1H9D	Q01196
1H9D	Q13951
1CSE	P00780
1CSE	P01051
4YFD	Q61730
4YFD	Q64487
3KBH	Q6Q1S2
3KBH	Q9BYF1
2PCC	P00044
2PCC	P00431
2PCB	P00431
2PCB	P00004
1S1Q	P0CG48
1S1Q	Q99816
3SF4	P81274
3SF4	Q1MX18
3UIG	O15392
3UIG	P68431
4J2L	P54253
4J2L	Q96RK0
3R9A	P21549
3R9A	P50542
2KSO	O15357
2KSO	P29317
1SMF	P01062
1SMF	P00760
1UUZ	Q9HXB1
1UUZ	P00698
5K39	Q06853
2DVW	Q9Z2X2
2DVW	P43686
5CXB	G0SCK6
5CXB	G0SFB5
4YH7	P59823
4YH7	Q64487
5UFE	P01116
2DSQ	P05019
2DSQ	P08833
2DSQ	P22692
4N8V	Q76ZQ3
4N8V	P04439
4N8V	P43631
4N8V	P61769
4O27	Q9Y376
4O27	Q9Y6E0
2BTF	P02584
2BTF	P60712
2C5D	P30530
2C5D	Q14393
1XGP	P01837
1XGP	P00698
3D3V	P01850
3D3V	P04439
3D3V	P61769
1XGU	P01837
1XGU	P00698
1XGT	P00698
1XGR	P00698
1XGQ	P01837
1XGQ	P00698
3LB6	P35225
3LB6	Q14627
1WQJ	P05019
1WQJ	P22692
3W2D	P01552
4HRN	P04626
4FZA	Q9P289
4FZA	Q9Y376
1NCA	P01865
1NCA	P03472
4HSA	Q16552
4HSA	Q96F46
4YEB	Q80TS3
4YEB	Q8BGT1
2OOB	Q13191
2OOB	P0CH28
2AW2	Q7Z6A9
2AW2	Q92956
4GNK	P21279
4GNK	Q01970
3WWN	O50147
1N8O	P23827
1N8O	P00766
1KBH	P45481
1KBH	Q9Y6Q9
1LP9	P01849
1LP9	P04213
1LP9	P04439
1LP9	P61769
1LP9	Q9NPA0
1SBB	P01852
1SBB	P01552
3MZW	P38507
3MZW	P04626
3KUD	P01112
3KUD	P04049
2B2X	P01868
2B2X	P18614
4NZW	O00506
4NZW	Q9Y376
2HRK	P46655
2HRK	P46672
2J1K	Q65914
2J1K	P78310
