	CC_ID	SRVs	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
0	0	2808	4270	5960	748	3MZG_B,2AW2_X,2VIS_B,4N8V_G,5E9D_A,4N8V_C,2J1K_S,1TM5_E,2B2X_I,1AO7_A,1GL1_K,2AW2_B,4P23_D,2AK4_J,3C60_A,3QIB_C,3BN9_C,3N06_B,1DAN_L,3LZF_H,1CBW_C,2VIR_A,3KBH_A,2BNQ_C,1SBN_E,1DQJ_B,2BNR_E,1QSE_D,2AK4_S,1EAW_B,1CBW_D,1CZ8_H,1Y34_E,1MLC_E,1N8Z_A,3C60_E,4K71_E,2AJF_E,2J1K_N,2UWE_B,4X4M_D,4MNQ_A,2J8U_L,4JFF_B,2J8U_I,1TMG_E,3PWP_E,2BDN_H,1BD2_D,1GC1_G,2J1K_L,3C60_B,2AK4_A,3AAA_C,1XGQ_B,1Y34_I,2J1K_Z,1SBB_A,3BTM_E,4KRP_C,3N0P_B,3SE9_G,4GXU_G,1E50_F,2J1K_B,4L3E_D,1H9D_D,4KRP_B,1VFB_B,1H9D_C,1BJ1_W,4MNQ_D,3NGB_C,1CZ8_V,1SIB_E,3QIB_D,1LP9_I,3BX1_D,3W2D_A,3NGB_B,1AO7_B,3MZG_A,1Y3D_E,1SGE_E,3N85_L,4NM8_B,5E9D_G,4U6H_J,1FY8_E,3S9D_B,1SMF_I,4K71_F,1A22_A,3MZW_A,1YY9_A,2JEL_L,1SBB_B,1DQJ_C,2P5E_B,3F1S_A,1NCA_L,3AAA_B,5E9D_J,4OZG_F,2UWE_F,2SGQ_E,4NM8_E,4P5T_A,2AK4_U,3G6D_H,3BTG_E,4FTV_B,3LZF_L,1EAW_D,2SIC_E,3W2D_L,3L5X_H,4JFE_C,3BN9_E,1N8Z_C,3QDG_C,4X4M_C,1CSO_E,3C60_G,1FCC_A,3NGB_H,4KRP_D,4L3E_A,4JPK_L,2BNR_D,1SGD_I,4RS1_B,1TMG_I,2UWE_J,3MZW_B,1FC2_D,2VLR_E,1OGA_B,2P5E_E,1MI5_D,4NM8_D,4P5T_D,2J8U_B,2OI9_B,3BX1_B,4U6H_E,2JCC_E,1UUZ_A,1TM4_I,3BTE_I,1XGU_A,3BTW_I,1IAR_B,4HRN_B,3SGB_E,4NM8_A,3NGB_L,1CZ8_W,4P5T_G,1AO7_E,3NPS_B,3BX1_A,1CHO_I,2NZ9_E,1GC1_C,4GXU_M,1GL0_I,1BJ1_H,4NKQ_A,1UUZ_C,1OGA_C,1KIP_B,2E7L_F,1TM3_E,4B0M_M,2AK4_P,1BJ1_L,3G6D_L,1XGQ_C,2BNQ_D,1TM3_I,4MNQ_E,2AK4_L,4GXU_U,4HRN_A,4NM8_H,2VIR_C,2JCC_F,1MI5_A,4NM8_N,4N8V_I,1F5R_I,2AJF_B,1LP9_B,2NZ9_C,1P69_A,1DAN_H,2BNQ_A,4JFD_C,1GL1_I,3BTD_E,2NU2_I,1KIR_C,1GC1_H,4KRP_A,3BTH_E,4RS1_A,3C60_H,2JCC_L,1EAW_A,3N85_A,3BTD_I,1SGP_E,1AHW_A,1CBW_A,2JCC_M,1LP9_C,1Y3B_E,1GL1_J,2I26_M,4I77_H,1JRH_H,1CBW_H,4GXU_R,2JCC_B,4JFE_E,4ZS6_C,2J1K_F,1KIQ_B,4JFE_D,3C60_F,4N8V_B,1SBB_D,1JCK_A,2VLR_I,1CZ8_Y,4L3E_B,1NCA_H,1CBW_I,4KRO_C,3NGB_D,3SE8_G,4OZG_H,2SGP_E,2J12_A,3NGB_I,1JCK_D,2AK4_D,3SE8_L,1QSE_E,4OZG_J,5E9D_C,4K71_A,4ZS6_B,1JCK_B,1XGR_B,1E50_R,4NM8_J,1KIQ_A,4GXU_D,1SBN_I,1SIB_I,3F1S_B,3BTE_E,2P5E_D,1BD2_A,4GXU_I,3QDG_E,4FTV_D,3KBH_B,2AK4_G,1E50_A,1FCC_D,2E7L_C,1MI5_C,4GXU_A,2B2X_L,4FTV_C,1FCC_C,3BTQ_E,2NU0_E,2J1K_X,4GXU_K,1DQJ_A,2J8U_H,1MLC_F,2J1K_Q,2J1K_V,2AK4_I,3QFJ_B,1N8Z_B,3QIB_P,4GXU_B,4GXU_X,3PWP_B,3BTG_I,3SE4_C,1XGT_C,1LP9_H,4ZS6_D,4GXU_V,2JCC_C,1SGQ_E,2J8U_E,1DVF_B,4U6H_B,2UWE_E,1FCC_B,1YQV_L,1E50_H,1TM5_I,2J8U_M,3BN9_A,2J1K_J,2JEL_P,4N8V_F,3QFJ_A,1TM7_I,2NU1_I,2NU4_I,2J1K_A,1OGA_D,1NCA_N,2I26_P,2JCC_H,1XGT_B,2UWE_A,1XGR_A,3SE8_H,1SMF_E,1CHO_E,4JFF_D,2FTL_I,2BDN_A,4GXU_S,1SGN_I,2VLR_C,4KRO_D,1PPF_E,3BTH_I,4GXU_J,5C6T_L,3QIB_A,4P23_C,4HRN_D,1CT4_I,4GXU_L,4GXU_Q,1KAC_A,1TM1_E,3TGK_I,1QSE_A,2FTL_E,5E9D_H,3S9D_A,2BNR_B,1E50_C,2I26_O,1CT0_I,2I26_L,1AHW_F,4X4M_E,1KIP_A,4KRO_A,4JFD_A,3H9S_C,2UWE_C,2JCC_I,2E7L_B,4HRN_C,1NMB_H,2I26_Q,2AW2_A,4U6H_A,4NKQ_B,1Y1K_I,1JRH_I,3NGB_F,3BTQ_I,3L5X_A,1UUZ_D,2BNQ_E,1KAC_B,1KIR_A,2NZ9_A,1BP3_B,3TGK_E,1Y48_I,1KIR_B,3PWP_A,4MNQ_C,1MLC_D,4L3E_C,3BTM_I,1H9D_A,2J8U_F,2E7L_P,2J1K_C,1SGY_I,4B0M_A,1Y1K_E,4OZG_A,4P5T_H,1TO1_I,1BD2_B,1SGY_E,2J8U_C,3QDG_A,3BTF_I,3HFM_L,3SE9_L,1LP9_F,1XGQ_A,4KRO_B,2VLR_G,3NCC_B,3S9D_D,4P5T_B,4X4M_A,3NCB_B,2B2X_A,2P5E_C,4KRL_A,1FC2_C,1GL1_A,4ZS6_H,4OZG_I,2E7L_D,1N8O_B,4P5T_F,3BTW_E,2JEL_H,5E9D_B,3BN9_D,2J1K_M,2NYY_C,2NYY_A,1CT4_E,1MLC_A,4GXU_H,5E9D_I,3NGB_E,3D3V_A,2AK4_E,1CZ8_X,3QDG_B,1MHP_A,1GC1_L,2E7L_Q,4ZS6_A,4P5T_C,2VLR_J,3QDJ_B,1H9D_B,4K71_C,2AK4_C,3S9D_C,2UWE_H,4JFF_E,3BTT_I,1R0R_I,1F5R_A,5E9D_E,1NMB_N,4OZG_E,3NGB_J,1XGT_A,2NU4_E,1AHW_D,1E50_D,1NMB_L,2BDN_L,4GXU_F,2NZ9_F,1PPF_I,1TM7_E,4N8V_E,4N8V_D,1LP9_J,2UWE_I,3LZF_B,1JRH_L,4GXU_O,2J1K_Y,1MI5_B,2AW2_Y,2NZ9_D,2J8U_A,4L3E_E,2AK4_M,1AHW_C,1UUZ_B,3AAA_A,3QDG_D,1LP9_M,4X4M_F,3QDJ_D,1SGE_I,4K71_B,2JCC_J,1SGP_I,1TM1_I,3NCB_A,4I77_L,2J1K_D,4OZG_G,1GL0_E,1YY9_D,4X4M_B,3NGB_K,3QIB_B,4MNQ_B,1MLC_C,3N0P_A,2J1K_O,1DVF_D,1AO7_C,2AK4_N,3D3V_E,2VLR_H,1Y3C_I,3NPS_A,2AJF_F,2SGQ_I,3H9S_A,1YY9_C,2NU1_E,1TO1_E,1BJ1_K,5C6T_A,1R0R_E,1P6A_B,1CBW_B,1CT2_E,3H9S_B,1VFB_C,4K71_D,4I77_Z,5E9D_F,1QSE_C,3H9S_E,1BD2_C,2BNR_A,1XGP_B,3PWP_D,3QFJ_D,4GXU_W,2OI9_A,5E9D_D,1Y48_E,1OGA_E,3PWP_C,3BN9_B,3SE4_B,1CT0_E,2BNR_C,3D3V_D,1P69_B,1N8O_A,2SGP_I,2J1K_I,2VIS_C,1CSE_I,2B2X_M,2J1K_P,2NU0_I,4P23_B,4JFE_A,4NM8_L,4JFF_A,2P5E_A,1MHP_L,2VLR_A,3KBH_C,2I26_N,4NM8_C,3C60_C,1ACB_I,2NZ9_B,3SE3_A,3D3V_B,1KIQ_C,3QDJ_C,4OZG_D,1AHW_E,3SE9_H,1OGA_A,1BJ1_V,4GXU_T,3QFJ_E,3KBH_G,2J1K_K,2J12_B,1YQV_H,2J1K_E,1N8O_E,3LB6_C,2OI9_Q,2OI9_C,3QDJ_E,4JFF_C,1XGU_C,4JFE_B,2J1K_G,1TM4_E,2JCC_A,1A22_B,1LP9_L,3NGB_G,3LZF_A,1E50_G,1SGD_E,3SE3_B,3NCC_A,2AK4_F,2BNQ_B,1DVF_A,4NKQ_C,1JCK_C,2E7L_E,1CT2_I,4OZG_C,1DVF_C,1GL1_C,1E50_E,3SE3_C,3NPS_C,2AK4_Q,2E7L_A,1E50_B,4JPK_H,4JPK_A,2AK4_K,1XGP_C,1DAN_U,4FTV_E,1XGU_B,3BTT_E,2J8U_J,4N8V_A,1P6A_A,1Y3B_I,3QFJ_C,3NGB_A,4GXU_E,1CBW_F,1CSE_E,4NM8_M,1DAN_T,1GL1_B,3KBH_F,1MLC_B,2UWE_M,2NU2_E,4NM8_I,3HFM_Y,2AK4_B,2J1K_R,4U6H_D,2VLR_D,3W2D_H,3QDJ_A,1MHP_Y,2B2X_B,1CZ8_L,2AK4_H,4NM8_F,1Y3D_I,2UWE_L,1E50_Q,4GXU_N,4P5T_E,1SBB_C,1MHP_X,3N06_A,1EAW_C,1KIP_C,4FTV_A,2SIC_I,4P23_A,1SGQ_I,1AHW_B,3KBH_H,1MHP_H,1QSE_B,2VIR_B,1Y33_I,2J1K_T,3G6D_A,1MHP_B,1CHO_G,5C6T_H,3H9S_D,1Y33_E,1N8O_C,1BD2_E,1ACB_E,1IAR_A,4JFD_B,2AK4_R,3KBH_D,1Y3C_E,2VLR_F,3BN9_F,3BTF_E,1XGP_A,2VIS_A,3D3V_C,1BP3_A,2AK4_T,1YQV_Y,4B0M_B,1CHO_F,3L5X_L,1MI5_E,2AJF_A,3SGB_I,1AO7_D,3BX1_C,3HFM_H,1VFB_A,1BJ1_J,4OZG_B,3KBH_E,3SE4_A,4JFD_D,4JFD_E,1LP9_A,4GXU_P,3C60_D,4U6H_C,2B2X_H,2NYY_D,1CSO_I,3LB6_A,1LP9_E,4GXU_C,1FY8_I,4ZS6_L,2J1K_H,3N85_H,1CBW_G,1XGR_C,3LB6_B,4KRL_B,2VLR_B,1SGN_E,3LB6_D
1	1	49	24	8	8	1Z7X_Y,1A4Y_A,1Z7X_X,1A4Y_B,1A4Y_D,1Z7X_W,1A4Y_E,1Z7X_Z
2	2	17	24	8	8	1M9E_A,1M9E_C,1AK4_C,1M9E_B,1M9E_D,1AK4_D,1AK4_A,1AK4_B
3	3	38	180	540	36	1X1X_C,1B2S_A,1B2S_B,1B2U_B,1BRS_D,1X1X_B,1B3S_B,1X1W_A,1X1W_D,1B2S_E,1BRS_A,1X1W_B,1B2S_D,1B2U_C,1X1W_C,1B3S_F,1X1X_D,1B2S_C,1BRS_E,1X1W_F,1B3S_C,1X1X_A,1B3S_A,1B2U_F,1X1X_E,1B2U_D,1B2U_E,1BRS_C,1B2S_F,1BRS_F,1X1W_E,1BRS_B,1B3S_E,1X1X_F,1B2U_A,1B3S_D
4	4	49	6	6	6	1MAH_F,1MAH_A,1FSS_B,1FSS_A,1B41_A,1B41_B
5	5	262	128	74	64	1HE8_A,3M62_B,2REX_C,2A9K_B,3M62_A,5XCO_B,2A9K_A,3Q3J_B,1E96_A,1GRN_B,4G0N_B,2OOB_A,1E96_B,3EG5_D,5UFQ_B,5UFE_A,3EG5_A,5XCO_A,5TAR_B,4JGH_C,1S1Q_A,1S1Q_C,3KUD_B,3M63_B,5TAR_A,1C4Z_D,1LFD_A,1HE8_B,1K8R_B,1GUA_A,2REX_D,1XD3_A,1GUA_B,3EG5_B,4JGH_B,1LFD_C,5UFE_B,1S1Q_D,5UFQ_A,1LFD_B,1S1Q_B,4JGH_A,4JGH_D,5UFQ_D,4G0N_A,5UFQ_C,1XD3_C,1LFD_D,1GRN_A,1C4Z_B,3Q3J_A,2REX_B,2OOB_B,1C4Z_C,1XD3_D,3EG5_C,1XD3_B,3M63_A,1C1Y_B,2REX_A,1C1Y_A,1C4Z_A,3KUD_A,1K8R_A
6	6	9	18	0	7	1EFN_D,1EFN_C,1GCQ_C,1GCQ_B,1GCQ_A,1EFN_A,1EFN_B
7	7	81	26	124	18	2VLQ_A,2VLP_A,2WPT_A,2GYK_F,2VLO_A,1FR2_B,2GYK_B,2VLO_B,2VLP_B,2WPT_B,2GYK_A,2GYK_E,2VLN_B,2VLQ_B,2VLN_A,1FR2_A,1EMV_B,1EMV_A
8	8	19	12	0	4	1FFW_C,1FFW_A,1FFW_B,1FFW_D
9	9	149	34	62	18	1JTG_D,3QHY_B,1JTG_A,1JTG_B,2G2U_A,1S0W_C,1JTG_C,1S0W_A,1S0W_B,2G2W_B,2G2W_A,3QHY_A,1JTD_B,2G2U_B,3N4I_B,3N4I_A,1S0W_D,1JTD_A
