From	Entry	Entry Name
3BT1	P00749	UROK_HUMAN
3BT1	P04004	VTNC_HUMAN
3BT1	Q03405	UPAR_HUMAN
3SGB	P00777	PRTB_STRGR
3SGB	P68390	IOVO_MELGA
1CHO	P68390	IOVO_MELGA
1CHO	P00766	CTRA_BOVIN
1R0R	P00780	SUBC_BACLI
1R0R	P68390	IOVO_MELGA
1PPF	P68390	IOVO_MELGA
1PPF	P08246	ELNE_HUMAN
1A22	P01241	SOMA_HUMAN
1A22	P10912	GHR_HUMAN
1DAN	P08709	FA7_HUMAN
1DAN	P13726	TF_HUMAN
1AO7	P14079	TAX_HTL1C
1AO7	A0A075B6T6	TVAL2_HUMAN
1AO7	A0A0K0K1A5	TVB65_HUMAN
1AO7	A0A5B9	TRBC2_HUMAN
1AO7	P01848	TRAC_HUMAN
1AO7	P01850	TRBC1_HUMAN
1AO7	P04439	HLAA_HUMAN
1AO7	P61769	B2MG_HUMAN
3S9D	P01563	IFNA2_HUMAN
3S9D	P48551	INAR2_HUMAN
3HFM	P01837	IGKC_MOUSE
3HFM	P00698	LYSC_CHICK
1JTG	P35804	BLIP_STRCL
1JTG	P62593	BLAT_ECOLX
1GC1	P04578	ENV_HV1H2
1GC1	P01730	CD4_HUMAN
1MHP	P18614	ITA1_RAT
1OGA	P01848	TRAC_HUMAN
1OGA	P01850	TRBC1_HUMAN
1OGA	P04439	HLAA_HUMAN
1OGA	P0DSE1	TRAR1_HUMAN
1OGA	P0DSE2	TRBR1_HUMAN
1OGA	P61769	B2MG_HUMAN
1C4Z	P68036	UB2L3_HUMAN
1C4Z	Q05086	UBE3A_HUMAN
1VFB	P01635	KV5A3_MOUSE
1VFB	P01820	HVM44_MOUSE
1VFB	P00698	LYSC_CHICK
1EMV	P09883	CEA9_ECOLX
1EMV	P13479	IMM9_ECOLX
1BP3	P01241	SOMA_HUMAN
1BP3	P16471	PRLR_HUMAN
2JEL	P0AA04	PTHP_ECOLI
1JRH	P01837	IGKC_MOUSE
1JRH	P01869	IGH1M_MOUSE
1JRH	P15260	INGR1_HUMAN
1MI5	Q3KST2	EBNA3_EBVG
1MI5	P01848	TRAC_HUMAN
1MI5	P01850	TRBC1_HUMAN
1MI5	P01889	HLAB_HUMAN
1MI5	P61769	B2MG_HUMAN
1LFD	Q03386	GNDS_RAT
1LFD	P01112	RASH_HUMAN
4RS1	P04141	CSF2_HUMAN
4RS1	P15509	CSF2R_HUMAN
1IAR	P05112	IL4_HUMAN
1IAR	P24394	IL4RA_HUMAN
1JTD	P62593	BLAT_ECOLX
3C60	P14434	HA2B_MOUSE
3C60	P14483	HB2A_MOUSE
3BN9	P01764	HV323_HUMAN
3BN9	P01834	IGKC_HUMAN
3BN9	P01857	IGHG1_HUMAN
3BN9	Q9Y5Y6	ST14_HUMAN
4NKQ	P04141	CSF2_HUMAN
4NKQ	P15509	CSF2R_HUMAN
4NKQ	P32927	IL3RB_HUMAN
1A4Y	P03950	ANGI_HUMAN
1A4Y	P13489	RINI_HUMAN
1CBW	P00766	CTRA_BOVIN
1CBW	P00767	CTRB_BOVIN
1CBW	P00974	BPT1_BOVIN
2FTL	P00760	TRY1_BOVIN
2FTL	P00974	BPT1_BOVIN
4G0N	P01112	RASH_HUMAN
4G0N	P04049	RAF1_HUMAN
2NYY	P0DPI1	BXA1_CLOBH
1BRS	P00648	RNBR_BACAM
1BRS	P11540	BARS_BACAM
2WPT	P04482	IMM2_ECOLX
2WPT	P09883	CEA9_ECOLX
2AK4	P03206	BZLF1_EBVB9
2AK4	P01848	TRAC_HUMAN
2AK4	P01850	TRBC1_HUMAN
2AK4	P01889	HLAB_HUMAN
2AK4	P61769	B2MG_HUMAN
2G2U	P35804	BLIP_STRCL
2G2U	P0AD64	BLA1_KLEPN
3NPS	Q9Y5Y6	ST14_HUMAN
1KTZ	P10600	TGFB3_HUMAN
1KTZ	P37173	TGFR2_HUMAN
3SE4	P05000	IFNW1_HUMAN
3SE4	P17181	INAR1_HUMAN
3SE4	P48551	INAR2_HUMAN
1EAW	Q9Y5Y6	ST14_HUMAN
1EAW	P00974	BPT1_BOVIN
4P23	P14434	HA2B_MOUSE
4P23	P14483	HB2A_MOUSE
2BNR	A0A0B4J279	TVA21_HUMAN
2BNR	A0A0K0K1A5	TVB65_HUMAN
2BNR	P01848	TRAC_HUMAN
2BNR	P01850	TRBC1_HUMAN
2BNR	P04439	HLAA_HUMAN
2BNR	P61769	B2MG_HUMAN
2BNR	P78358	CTG1B_HUMAN
4P5T	P14434	HA2B_MOUSE
4P5T	P14483	HB2A_MOUSE
4PWX	Q12125	GET4_YEAST
4PWX	Q12154	GET3_YEAST
4PWX	Q12285	MDY2_YEAST
1DVF	P01635	KV5A3_MOUSE
1DVF	P01646	KV5AD_MOUSE
1DVF	P01820	HVM44_MOUSE
3QIB	P04224	HA22_MOUSE
3QIB	P04230	HB21_MOUSE
3QIB	P00039	CYC_MANSE
3QIB	P01848	TRAC_HUMAN
1DQJ	P01837	IGKC_MOUSE
1DQJ	P01865	GCAM_MOUSE
1DQJ	P00698	LYSC_CHICK
3SZK	Q8NW39	ISDH_STAAW
3SZK	P68871	HBB_HUMAN
3SZK	P69905	HBA_HUMAN
1B41	P0C1Z0	3SE2_DENAN
1B41	P22303	ACES_HUMAN
1FSS	P04058	ACES_TETCF
1FSS	P0C1Z0	3SE2_DENAN
1K8R	P28829	BYR2_SCHPO
1K8R	P01112	RASH_HUMAN
2NZ9	P0DPI1	BXA1_CLOBH
1FFW	P07363	CHEA_ECOLI
1FFW	P0AE67	CHEY_ECOLI
3M62	P32628	RAD23_YEAST
3M62	P54860	UFD2_YEAST
1XD3	P0CG48	UBC_HUMAN
1XD3	P15374	UCHL3_HUMAN
1FC2	P38507	SPA_STAAU
1FC2	P01857	IGHG1_HUMAN
5C6T	P13201	GB_HCMVT
1Z7X	P07998	RNAS1_HUMAN
1Z7X	P13489	RINI_HUMAN
3SE3	P01563	IFNA2_HUMAN
3SE3	P17181	INAR1_HUMAN
3SE3	P48551	INAR2_HUMAN
1TM1	P00782	SUBT_BACAM
1E50	Q01196	RUNX1_HUMAN
1E50	Q13951	PEBB_HUMAN
1YY9	P00533	EGFR_HUMAN
1AK4	P12497	POL_HV1N5
1AK4	P62937	PPIA_HUMAN
2J0T	P01033	TIMP1_HUMAN
2J0T	P03956	MMP1_HUMAN
3QDJ	P01848	TRAC_HUMAN
3QDJ	P04439	HLAA_HUMAN
3QDJ	P61769	B2MG_HUMAN
1C1Y	P04049	RAF1_HUMAN
1C1Y	P62834	RAP1A_HUMAN
3QDG	P01848	TRAC_HUMAN
3QDG	P04439	HLAA_HUMAN
3QDG	P61769	B2MG_HUMAN
1KNE	P02299	H3_DROME
1KNE	P05205	HP1_DROME
5F4E	A6ND01	JUNO_HUMAN
5F4E	Q8IYV9	IZUM1_HUMAN
3BK3	P12643	BMP2_HUMAN
1N8Z	P04626	ERBB2_HUMAN
4I77	P35225	IL13_HUMAN
1F47	P0A9A6	FTSZ_ECOLI
1F47	P77173	ZIPA_ECOLI
4OZG	P18573	GDA9_WHEAT
4OZG	P01850	TRBC1_HUMAN
4OZG	P01909	DQA1_HUMAN
4OZG	P01920	DQB1_HUMAN
1GUA	P04049	RAF1_HUMAN
1GUA	P62834	RAP1A_HUMAN
2BDN	P13500	CCL2_HUMAN
5XCO	P01116	RASK_HUMAN
3Q8D	P28044	SSB7_ECOLX
3Q8D	P0A7H3	RECO_ECOLI
3EQY	O15151	MDM4_HUMAN
4OFY	B1Q236	SYG1_CAEEL
4OFY	Q9U3P2	SYG2_CAEEL
4BFI	O54901	OX2G_MOUSE
4BFI	Q9ES57	MO2R1_MOUSE
1MLC	P01837	IGKC_MOUSE
1MLC	P01868	IGHG1_MOUSE
1MLC	P00698	LYSC_CHICK
3M63	P48510	DSK2_YEAST
3M63	P54860	UFD2_YEAST
3AAA	P13127	CAZA1_CHICK
3AAA	P14315	CAPZB_CHICK
3AAA	P58546	MTPN_HUMAN
3MZG	P01236	PRL_HUMAN
3MZG	P16471	PRLR_HUMAN
2SIC	P00782	SUBT_BACAM
2SIC	P01006	SSI_STRAO
1JCK	P0A0L5	ENTC3_STAAU
3EQS	Q00987	MDM2_HUMAN
1BJ1	P15692	VEGFA_HUMAN
1MAH	P21836	ACES_MOUSE
1MAH	P0C1Z0	3SE2_DENAN
1BD2	P14079	TAX_HTL1C
1BD2	P0C213	TAX_HTL1F
1BD2	A0A0K0K1A5	TVB65_HUMAN
1BD2	A0A5B9	TRBC2_HUMAN
1BD2	P01848	TRAC_HUMAN
1BD2	P04437	TVA29_HUMAN
1BD2	P04439	HLAA_HUMAN
1BD2	P61769	B2MG_HUMAN
1AHW	P01837	IGKC_MOUSE
1AHW	P01868	IGHG1_MOUSE
1AHW	P13726	TF_HUMAN
4NM8	Q91MA7	HEMA_I68A4
4NM8	P01834	IGKC_HUMAN
3N85	P04626	ERBB2_HUMAN
4B0M	P26926	CAF1M_YERPE
