From	Entry
1JTG	P35804
1JTG	P62593
1PPF	P68390
1PPF	P08246
1BRS	P00648
1BRS	P11540
3SGB	P00777
3SGB	P68390
1KBH	P45481
1KBH	Q9Y6Q9
1R0R	P00780
1R0R	P68390
4G0N	P01112
4G0N	P04049
2B2X	P01868
2B2X	P18614
1A22	P01241
1A22	P10912
3S9D	P01563
3S9D	P48551
1LFD	Q03386
1LFD	P01112
2C5D	P30530
2C5D	Q14393
2VN5	P17901
1REW	P12643
1REW	P36894
3L5X	P35225
1CZ8	P15692
3HFM	P01837
3HFM	P00698
3MZW	P38507
3MZW	P04626
1MHP	P18614
1VFB	P01635
1VFB	P01820
1VFB	P00698
1DQJ	P01837
1DQJ	P01865
1DQJ	P00698
1HE8	P01112
1HE8	P48736
1A4Y	P03950
1A4Y	P13489
1BP3	P01241
1BP3	P16471
3KUD	P01112
3KUD	P04049
2G2U	P35804
2G2U	P0AD64
4NKQ	P04141
4NKQ	P15509
4NKQ	P32927
1MLC	P01837
1MLC	P01868
1MLC	P00698
1BJ1	P15692
3VR6	P43435
3VR6	P43455
3VR6	Q08636
3VR6	Q08637
1EMV	P09883
1EMV	P13479
1JRH	P01837
1JRH	P01869
1JRH	P15260
2WPT	P04482
2WPT	P09883
2NY7	P04578
2NY7	P35961
2NY7	P01834
3IDX	P04578
4K71	P02768
4K71	P55899
4K71	P61769
1QAB	P02753
1QAB	P02766
4RS1	P04141
4RS1	P15509
1DVF	P01635
1DVF	P01646
1DVF	P01820
4RA0	P30530
4RA0	Q14393
1MQ8	P05362
1MQ8	P20701
1AHW	P01837
1AHW	P01868
1AHW	P13726
2PCC	P00044
2PCC	P00431
3G6D	P35225
2DVW	Q9Z2X2
2DVW	P43686
2KSO	O15357
2KSO	P29317
2J0T	P01033
2J0T	P03956
1YCS	P04637
1YCS	Q13625
1OHZ	P51584
1OHZ	Q06851
1TM1	P00782
1FSS	P04058
1FSS	P0C1Z0
1Z7X	P07998
1Z7X	P13489
1MAH	P21836
1MAH	P0C1Z0
2OOB	Q13191
2OOB	P0CH28
5UFE	P01116
4B0M	P26926
4B0M	P26948
4B0M	P26949
2QJ9	P12643
2QJ9	P36894
4E6K	Q9HY79
4E6K	Q9HY80
1GUA	P04049
1GUA	P62834
1YY9	P00533
1C1Y	P04049
1C1Y	P62834
4J2L	P54253
4J2L	Q96RK0
4YH7	P59823
4YH7	Q64487
4GNK	P21279
4GNK	Q01970
5CYK	G0SCK6
5CYK	G0SFB5
3BDY	P01834
3BDY	P01857
3BDY	P15692
5UFQ	P01116
4YFD	Q61730
4YFD	Q64487
3BE1	P01834
3BE1	P01857
3BE1	P04626
1GC1	P04578
1GC1	P01730
1N8Z	P04626
1YQV	P00698
1B41	P0C1Z0
1B41	P22303
3EG5	O08808
3EG5	P60766
4OFY	B1Q236
4OFY	Q9U3P2
5C6T	P13201
2QJB	P12643
2QJB	P36894
2QJA	P12643
2QJA	P36894
2NYY	P0DPI1
1B2S	P00648
1B2S	P11540
1FCC	P19909
1FCC	P01857
1EFN	P03406
1EFN	P06241
1GL0	P80060
1GL0	P00766
1GL1	P80060
1GL1	P00766
2CCL	P51584
2CCL	Q06851
2ABZ	P81511
2ABZ	P00730
1XXM	P35804
1XXM	P62593
1Y4A	P00782
1SBB	P01852
1SBB	P01552
1WQJ	P05019
1WQJ	P22692
1K8R	P28829
1K8R	P01112
1AK4	P12497
1AK4	P62937
1B3S	P00648
1B3S	P11540
1B2U	P00648
1B2U	P11540
1C4Z	P68036
1C4Z	Q05086
1E50	Q01196
1E50	Q13951
2O3B	P38446
2NZ9	P0DPI1
2NOJ	P01024
3AAA	P13127
3AAA	P14315
3AAA	P58546
3M63	P48510
3M63	P54860
3LZF	Q9WFX3
3MZG	P01236
3MZG	P16471
3BP8	P50456
3BP8	P69786
4MYW	P03172
4MYW	Q15223
4JEU	P32851
4JEU	P61765
4GU0	P84243
4GU0	Q8NB78
3U82	Q69091
3U82	Q15223
4KRP	P00533
4KRO	P00533
4KRL	P00533
4JPK	P04578
4WND	P81274
4WND	Q14CM0
4X4M	P01857
4X4M	P12314
4Y61	Q64487
4Y61	Q810C0
