PDB_ID	Oligomer_type	Experimental_method	Resolution(Å)	Chain_ID	Uniprot_ID	Covered_residues	Coverage
3BT1	hetero_trimer	X-ray diffraction	2.8	A	P00749	132	0.324
3BT1	hetero_trimer	X-ray diffraction	2.8	B	P04004	39	0.087
3BT1	hetero_trimer	X-ray diffraction	2.8	U	Q03405	280	0.898
1CHO	hetero_tetramer	X-ray diffraction	1.8	E	P00766	12	0.053
1CHO	hetero_tetramer	X-ray diffraction	1.8	F	P00766	130	0.535
1CHO	hetero_tetramer	X-ray diffraction	1.8	G	P00766	96	0.396
1CHO	hetero_tetramer	X-ray diffraction	1.8	I	P68390	55	0.303
1R0R	hetero_dimer	X-ray diffraction	1.1	E	P00780	273	0.783
1R0R	hetero_dimer	X-ray diffraction	1.1	I	P68390	50	0.276
3SGB	hetero_dimer	X-ray diffraction	1.8	E	P00777	184	0.709
3SGB	hetero_dimer	X-ray diffraction	1.8	I	P68390	55	0.303
1PPF	hetero_dimer	X-ray diffraction	1.8	E	P08246	217	0.908
1PPF	hetero_dimer	X-ray diffraction	1.8	I	P68390	55	0.303
1A22	hetero_dimer	X-ray diffraction	2.6	A	P01241	190	1.0
1A22	hetero_dimer	X-ray diffraction	2.6	B	P10912	237	0.384
1DAN	hetero_tetramer	X-ray diffraction	2.0	L	P08709	151	0.341
1DAN	hetero_tetramer	X-ray diffraction	2.0	H	P08709	253	0.57
1DAN	hetero_tetramer	X-ray diffraction	2.0	T	P13726	79	0.304
1DAN	hetero_tetramer	X-ray diffraction	2.0	U	P13726	120	0.46
1AO7	hetero_pentamer	X-ray diffraction	2.6	A	P04439	274	0.806
1AO7	hetero_pentamer	X-ray diffraction	2.6	B	P61769	98	1.0
1AO7	hetero_pentamer	X-ray diffraction	2.6	C	P14079	8	0.025
1AO7	hetero_pentamer	X-ray diffraction	2.6	D	A0A075B6T6,P01848	92	0.664
1AO7	hetero_pentamer	X-ray diffraction	2.6	E	P01850	128	0.733
3S9D	hetero_dimer	X-ray diffraction	1.9999	A	P01563	164	1.0
3S9D	hetero_dimer	X-ray diffraction	1.9999	C	P01563	164	1.0
3S9D	hetero_dimer	X-ray diffraction	1.9999	B	P48551	195	0.401
3S9D	hetero_dimer	X-ray diffraction	1.9999	D	P48551	195	0.401
3HFM	hetero_trimer	X-ray diffraction	3.0	L	P01837	106	1.0
3HFM	hetero_trimer	X-ray diffraction	3.0	H	Not Mapped	Not Mapped	Not Mapped
3HFM	hetero_trimer	X-ray diffraction	3.0	Y	P00698	128	1.0
1JTG	hetero_dimer	X-ray diffraction	1.73	A	P62593	262	1.0
1JTG	hetero_dimer	X-ray diffraction	1.73	C	P62593	262	1.0
1JTG	hetero_dimer	X-ray diffraction	1.73	B	P35804	164	1.0
