PDB	Experimental Method	Resolution	Uniprot	Coverage	Length	Coverage (%)	Reviewed
1BD2	X-ray diffraction	2.5	P04439	275	365.0	75.34246575342466	reviewed
1BD2	X-ray diffraction	2.5	P61769	99	119.0	83.19327731092437	reviewed
1BD2	X-ray diffraction	2.5	P0C213	9	353.0	2.5495750708215295	reviewed
1BD2	X-ray diffraction	2.5	P04437	91	119.0	76.47058823529412	reviewed
1BD2	X-ray diffraction	2.5	P01848	93	140.0	66.42857142857143	reviewed
1BD2	X-ray diffraction	2.5	A0A0K0K1A5	95	114.0	83.33333333333334	reviewed
1BD2	X-ray diffraction	2.5	A0A5B9	129	178.0	72.47191011235955	reviewed
1AO7	X-ray diffraction	2.6	P04439	275	365.0	75.34246575342466	reviewed
1AO7	X-ray diffraction	2.6	P61769	99	119.0	83.19327731092437	reviewed
1AO7	X-ray diffraction	2.6	P14079	9	353.0	2.5495750708215295	reviewed
1AO7	X-ray diffraction	2.6	A0A075B6T6	90	113.0	79.64601769911505	reviewed
1AO7	X-ray diffraction	2.6	P01848	93	140.0	66.42857142857143	reviewed
1AO7	X-ray diffraction	2.6	P01850	129	176.0	73.29545454545455	reviewed
2BNQ	X-ray diffraction	1.7	P04439	275	365.0	75.34246575342466	reviewed
2BNQ	X-ray diffraction	1.7	P61769	99	119.0	83.19327731092437	reviewed
2BNQ	X-ray diffraction	1.7	P78358	8	180.0	4.444444444444445	reviewed
2BNQ	X-ray diffraction	1.7	A0A0B4J279	92	112.0	82.14285714285714	reviewed
2BNQ	X-ray diffraction	1.7	P01848	89	140.0	63.57142857142857	reviewed
2BNQ	X-ray diffraction	1.7	A0A0K0K1A5	93	114.0	81.57894736842105	reviewed
2BNQ	X-ray diffraction	1.7	P01850	129	176.0	73.29545454545455	reviewed
2VLR	X-ray diffraction	2.3	P04439	275	365.0	75.34246575342466	reviewed
2VLR	X-ray diffraction	2.3	P61769	99	119.0	83.19327731092437	reviewed
2VLR	X-ray diffraction	2.3	P03485	9	252.0	3.571428571428571	reviewed
2VLR	X-ray diffraction	2.3	P01848	89	140.0	63.57142857142857	reviewed
2VLR	X-ray diffraction	2.3	P01850	129	176.0	73.29545454545455	reviewed
2BNR	X-ray diffraction	1.9	P04439	275	365.0	75.34246575342466	reviewed
2BNR	X-ray diffraction	1.9	P61769	99	119.0	83.19327731092437	reviewed
2BNR	X-ray diffraction	1.9	P78358	9	180.0	5.0	reviewed
2BNR	X-ray diffraction	1.9	A0A0B4J279	92	112.0	82.14285714285714	reviewed
2BNR	X-ray diffraction	1.9	P01848	89	140.0	63.57142857142857	reviewed
2BNR	X-ray diffraction	1.9	A0A0K0K1A5	93	114.0	81.57894736842105	reviewed
2BNR	X-ray diffraction	1.9	P01850	129	176.0	73.29545454545455	reviewed
1OGA	X-ray diffraction	1.4	P04439	275	365.0	75.34246575342466	reviewed
1OGA	X-ray diffraction	1.4	P61769	99	119.0	83.19327731092437	reviewed
1OGA	X-ray diffraction	1.4	P01848	92	140.0	65.71428571428571	reviewed
1OGA	X-ray diffraction	1.4	P01850	129	176.0	73.29545454545455	reviewed
2AK4	X-ray diffraction	2.5	P01889	276	362.0	76.24309392265194	reviewed
2AK4	X-ray diffraction	2.5	P61769	99	119.0	83.19327731092437	reviewed
2AK4	X-ray diffraction	2.5	P03206	13	245.0	5.3061224489795915	reviewed
2AK4	X-ray diffraction	2.5	P01848	93	140.0	66.42857142857143	reviewed
2AK4	X-ray diffraction	2.5	P01850	129	176.0	73.29545454545455	reviewed
2P5E	X-ray diffraction	1.89	P04439	275	365.0	75.34246575342466	reviewed
2P5E	X-ray diffraction	1.89	P61769	99	119.0	83.19327731092437	reviewed
2P5E	X-ray diffraction	1.89	P78358	9	180.0	5.0	reviewed
2P5E	X-ray diffraction	1.89	P01848	79	140.0	56.42857142857143	reviewed
1LP9	X-ray diffraction	2.0	P04439	275	365.0	75.34246575342466	reviewed
1LP9	X-ray diffraction	2.0	P61769	99	119.0	83.19327731092437	reviewed
1LP9	X-ray diffraction	2.0	Q9NPA0	9	242.0	3.71900826446281	reviewed
1LP9	X-ray diffraction	2.0	P01849	79	136.0	58.08823529411765	reviewed
1LP9	X-ray diffraction	2.0	P04213	113	122.0	92.62295081967213	reviewed
4JFF	X-ray diffraction	2.43	P04439	275	365.0	75.34246575342466	reviewed
4JFF	X-ray diffraction	2.43	P61769	99	119.0	83.19327731092437	reviewed
4JFF	X-ray diffraction	2.43	Q16655	10	118.0	8.47457627118644	reviewed
4JFF	X-ray diffraction	2.43	P01848	87	140.0	62.142857142857146	reviewed
4JFF	X-ray diffraction	2.43	P01850	129	176.0	73.29545454545455	reviewed
2J8U	X-ray diffraction	2.88	P04439	275	365.0	75.34246575342466	reviewed
2J8U	X-ray diffraction	2.88	P61769	99	119.0	83.19327731092437	reviewed
2J8U	X-ray diffraction	2.88	Q9NPA0	9	242.0	3.71900826446281	reviewed
2J8U	X-ray diffraction	2.88	P01849	79	136.0	58.08823529411765	reviewed
2J8U	X-ray diffraction	2.88	P04213	113	122.0	92.62295081967213	reviewed
1MI5	X-ray diffraction	2.5	P01889	277	362.0	76.51933701657458	reviewed
1MI5	X-ray diffraction	2.5	P61769	99	119.0	83.19327731092437	reviewed
1MI5	X-ray diffraction	2.5	Q3KST2	9	935.0	0.9625668449197862	reviewed
1MI5	X-ray diffraction	2.5	P01848	89	140.0	63.57142857142857	reviewed
1MI5	X-ray diffraction	2.5	P01850	129	176.0	73.29545454545455	reviewed
4MNQ	X-ray diffraction	2.742	P04439	275	365.0	75.34246575342466	reviewed
4MNQ	X-ray diffraction	2.742	P61769	99	119.0	83.19327731092437	reviewed
4MNQ	X-ray diffraction	2.742	O14746	9	1132.0	0.7950530035335688	reviewed
4MNQ	X-ray diffraction	2.742	H2RG00	87			reviewed
4MNQ	X-ray diffraction	2.742	K7N5N2	89			reviewed
4MNQ	X-ray diffraction	2.742	P01850	129	176.0	73.29545454545455	reviewed
2UWE	X-ray diffraction	2.4	P04439	275	365.0	75.34246575342466	reviewed
2UWE	X-ray diffraction	2.4	P61769	99	119.0	83.19327731092437	reviewed
2UWE	X-ray diffraction	2.4	Q9NPA0	9	242.0	3.71900826446281	reviewed
2UWE	X-ray diffraction	2.4	P04213	113	122.0	92.62295081967213	reviewed
2JCC	X-ray diffraction	2.5	P04439	275	365.0	75.34246575342466	reviewed
2JCC	X-ray diffraction	2.5	P61769	99	119.0	83.19327731092437	reviewed
2JCC	X-ray diffraction	2.5	Q9NPA0	9	242.0	3.71900826446281	reviewed
2JCC	X-ray diffraction	2.5	P01849	79	136.0	58.08823529411765	reviewed
4JFE	X-ray diffraction	2.7	P04439	275	365.0	75.34246575342466	reviewed
4JFE	X-ray diffraction	2.7	P61769	99	119.0	83.19327731092437	reviewed
4JFE	X-ray diffraction	2.7	P01848	87	140.0	62.142857142857146	reviewed
4JFE	X-ray diffraction	2.7	P01850	129	176.0	73.29545454545455	reviewed
3QIB	X-ray diffraction	2.7	P04224	191	255.0	74.90196078431373	reviewed
3QIB	X-ray diffraction	2.7	P04230	196	264.0	74.24242424242425	reviewed
3QIB	X-ray diffraction	2.7	P01848	93	140.0	66.42857142857143	reviewed
3QIB	X-ray diffraction	2.7	P00039	12	108.0	11.11111111111111	reviewed
3BN9	X-ray diffraction	2.173	Q9Y5Y6	241	855.0	28.18713450292398	reviewed
3BN9	X-ray diffraction	2.173	P01857	107	399.0	26.81704260651629	reviewed
4OZG	X-ray diffraction	3.0	P01909	183	254.0	72.04724409448819	reviewed
4OZG	X-ray diffraction	3.0	P01920	192	261.0	73.5632183908046	reviewed
4OZG	X-ray diffraction	3.0	Q2YD82	194			reviewed
4OZG	X-ray diffraction	3.0	P01850	129	176.0	73.29545454545455	reviewed
4OZG	X-ray diffraction	3.0	P04722	10			reviewed
4N8V	X-ray diffraction	2.5	P04439	274	365.0	75.06849315068493	reviewed
4N8V	X-ray diffraction	2.5	P61769	99	119.0	83.19327731092437	reviewed
4N8V	X-ray diffraction	2.5	Q76ZQ3	9	90.0	10.0	reviewed
4N8V	X-ray diffraction	2.5	P43631	200	304.0	65.78947368421053	reviewed
3VR6	X-ray diffraction	2.68	Q08636	593	593.0	100.0	reviewed
3VR6	X-ray diffraction	2.68	Q08637	458	458.0	100.0	reviewed
3VR6	X-ray diffraction	2.68	P43435	210	210.0	100.0	reviewed
3VR6	X-ray diffraction	2.68	P43455	103	103.0	100.0	reviewed
4JGH	X-ray diffraction	3.0	O14508	167	198.0	84.34343434343434	reviewed
4JGH	X-ray diffraction	3.0	P62869	118	118.0	100.0	reviewed
4JGH	X-ray diffraction	3.0	P83940	96	112.0	85.71428571428571	reviewed
4JGH	X-ray diffraction	3.0	Q93034	377	780.0	48.333333333333336	reviewed
4JFD	X-ray diffraction	2.46	P04439	275	365.0	75.34246575342466	reviewed
4JFD	X-ray diffraction	2.46	P61769	99	119.0	83.19327731092437	reviewed
4JFD	X-ray diffraction	2.46	P01848	86	140.0	61.42857142857143	reviewed
4JFD	X-ray diffraction	2.46	P01850	129	176.0	73.29545454545455	reviewed
5E9D	X-ray diffraction	2.51	P04439	275	365.0	75.34246575342466	reviewed
5E9D	X-ray diffraction	2.51	P61769	99	119.0	83.19327731092437	reviewed
5E9D	X-ray diffraction	2.51	Q16655	10	118.0	8.47457627118644	reviewed
5E9D	X-ray diffraction	2.51	A0A075B6T6	91	113.0	80.53097345132744	reviewed
5E9D	X-ray diffraction	2.51	A0A0K0K1A5	93	114.0	81.57894736842105	reviewed
3BT1	X-ray diffraction	2.8	P00749	133	431.0	30.8584686774942	reviewed
3BT1	X-ray diffraction	2.8	P04004	40	478.0	8.368200836820083	reviewed
3BT1	X-ray diffraction	2.8	Q03405	281	335.0	83.88059701492537	reviewed
1AHW	X-ray diffraction	3.0	P01837	107	107.0	100.0	reviewed
1AHW	X-ray diffraction	3.0	P01868	97	324.0	29.938271604938272	reviewed
1AHW	X-ray diffraction	3.0	P13726	219	295.0	74.23728813559322	reviewed
3QDJ	X-ray diffraction	2.3	P04439	275	365.0	75.34246575342466	reviewed
3QDJ	X-ray diffraction	2.3	P61769	99	119.0	83.19327731092437	reviewed
3QDJ	X-ray diffraction	2.3	P01848	89	140.0	63.57142857142857	reviewed
3QDG	X-ray diffraction	2.69	P04439	275	365.0	75.34246575342466	reviewed
3QDG	X-ray diffraction	2.69	P61769	99	119.0	83.19327731092437	reviewed
3QDG	X-ray diffraction	2.69	P01848	89	140.0	63.57142857142857	reviewed
4L3E	X-ray diffraction	2.557	P04439	275	365.0	75.34246575342466	reviewed
4L3E	X-ray diffraction	2.557	P61769	99	119.0	83.19327731092437	reviewed
4L3E	X-ray diffraction	2.557	Q16655	10	118.0	8.47457627118644	reviewed
3H9S	X-ray diffraction	2.7	P04439	275	365.0	75.34246575342466	reviewed
3H9S	X-ray diffraction	2.7	P61769	99	119.0	83.19327731092437	reviewed
3H9S	X-ray diffraction	2.7	P38110	9	2787.0	0.32292787944025836	reviewed
4B0M	X-ray diffraction	1.8	P26949	136	833.0	16.3265306122449	reviewed
4B0M	X-ray diffraction	1.8	P26948	149	170.0	87.6470588235294	reviewed
4B0M	X-ray diffraction	1.8	P26926	235	258.0	91.08527131782945	reviewed
3D3V	X-ray diffraction	2.8	P04439	275	365.0	75.34246575342466	reviewed
3D3V	X-ray diffraction	2.8	P61769	99	119.0	83.19327731092437	reviewed
3D3V	X-ray diffraction	2.8	P01850	129	176.0	73.29545454545455	reviewed
4PWX	X-ray diffraction	5.4	Q12154	353	354.0	99.71751412429379	reviewed
4PWX	X-ray diffraction	5.4	Q12125	280	312.0	89.74358974358975	reviewed
4PWX	X-ray diffraction	5.4	Q12285	54	212.0	25.471698113207548	reviewed
3PWP	X-ray diffraction	2.69	P04439	275	365.0	75.34246575342466	reviewed
3PWP	X-ray diffraction	2.69	P61769	99	119.0	83.19327731092437	reviewed
3PWP	X-ray diffraction	2.69	P01848	89	140.0	63.57142857142857	reviewed
4FTV	X-ray diffraction	2.74	P04439	275	365.0	75.34246575342466	reviewed
4FTV	X-ray diffraction	2.74	P61769	99	119.0	83.19327731092437	reviewed
4FTV	X-ray diffraction	2.74	P0C213	9	353.0	2.5495750708215295	reviewed
3SZK	X-ray diffraction	3.01	P69905	141	142.0	99.29577464788733	reviewed
3SZK	X-ray diffraction	3.01	P68871	146	147.0	99.31972789115646	reviewed
3SZK	X-ray diffraction	3.01	Q8NW39	144	895.0	16.089385474860336	reviewed
1VFB	X-ray diffraction	1.8	P01635	95	115.0	82.6086956521739	reviewed
1VFB	X-ray diffraction	1.8	P01820	96	115.0	83.47826086956522	reviewed
1VFB	X-ray diffraction	1.8	P00698	129	147.0	87.75510204081633	reviewed
1DVF	X-ray diffraction	1.9	P01635	95	115.0	82.6086956521739	reviewed
1DVF	X-ray diffraction	1.9	P01820	96	115.0	83.47826086956522	reviewed
1DVF	X-ray diffraction	1.9	P01646	107	108.0	99.07407407407408	reviewed
1DVF	X-ray diffraction	1.9	A0NA69	98			reviewed
1JRH	X-ray diffraction	2.8	P01869	97	393.0	24.681933842239186	reviewed
1JRH	X-ray diffraction	2.8	P15260	108	489.0	22.085889570552148	reviewed
1JRH	X-ray diffraction	2.8	P01837	107	107.0	100.0	reviewed
1DQJ	X-ray diffraction	2.0	P01837	107	107.0	100.0	reviewed
1DQJ	X-ray diffraction	2.0	P01865	96	398.0	24.120603015075375	reviewed
1DQJ	X-ray diffraction	2.0	P00698	129	147.0	87.75510204081633	reviewed
1CBW	X-ray diffraction	2.6	P00767	13	245.0	5.3061224489795915	reviewed
1CBW	X-ray diffraction	2.6	P00766	131	245.0	53.46938775510204	reviewed
1CBW	X-ray diffraction	2.6	P00974	58	100.0	57.99999999999999	reviewed
4NKQ	X-ray diffraction	3.301	P32927	414	897.0	46.15384615384615	reviewed
4NKQ	X-ray diffraction	3.301	P15509	288	400.0	72.0	reviewed
4NKQ	X-ray diffraction	3.301	P04141	127	144.0	88.19444444444444	reviewed
3SE3	X-ray diffraction	4.0001	P17181	409	557.0	73.4290843806104	reviewed
3SE3	X-ray diffraction	4.0001	P01563	165	188.0	87.7659574468085	reviewed
3SE3	X-ray diffraction	4.0001	P48551	199	515.0	38.640776699029125	reviewed
4K71	X-ray diffraction	2.4	P02768	585	609.0	96.05911330049261	reviewed
4K71	X-ray diffraction	2.4	P55899	274	365.0	75.06849315068493	reviewed
4K71	X-ray diffraction	2.4	P61769	99	119.0	83.19327731092437	reviewed
2DSQ	X-ray diffraction	2.8	P22692	92	258.0	35.65891472868217	reviewed
2DSQ	X-ray diffraction	2.8	P05019	70	195.0	35.8974358974359	reviewed
2DSQ	X-ray diffraction	2.8	P08833	94	259.0	36.293436293436294	reviewed
1MLC	X-ray diffraction	2.5	P01837	107	107.0	100.0	reviewed
1MLC	X-ray diffraction	2.5	P01868	102	324.0	31.48148148148148	reviewed
1MLC	X-ray diffraction	2.5	P00698	129	147.0	87.75510204081633	reviewed
3SE4	X-ray diffraction	3.5001	P17181	409	557.0	73.4290843806104	reviewed
3SE4	X-ray diffraction	3.5001	P05000	174	195.0	89.23076923076924	reviewed
3SE4	X-ray diffraction	3.5001	P48551	199	515.0	38.640776699029125	reviewed
3AAA	X-ray diffraction	2.2	P13127	286	286.0	100.0	reviewed
3AAA	X-ray diffraction	2.2	P14315	277	277.0	100.0	reviewed
3AAA	X-ray diffraction	2.2	P58546	118	118.0	100.0	reviewed
3Q3J	X-ray diffraction	1.971	O75051	111	1894.0	5.860612460401267	reviewed
3Q3J	X-ray diffraction	1.971	Q92730	196	232.0	84.48275862068965	reviewed
3NVQ	X-ray diffraction	2.4	O75326	590	666.0	88.58858858858859	reviewed
3NVQ	X-ray diffraction	2.4	O60486	473	1568.0	30.165816326530614	reviewed
4YH7	X-ray diffraction	4.4	Q64487	834	1912.0	43.61924686192469	reviewed
4YH7	X-ray diffraction	4.4	P59823	334	695.0	48.05755395683453	reviewed
5CXB	X-ray diffraction	2.1	G0SFB5	495	495.0	100.0	reviewed
5CXB	X-ray diffraction	2.1	G0SCK6	369	801.0	46.06741573033708	reviewed
3NVN	X-ray diffraction	2.26	Q8JL80	385	399.0	96.49122807017544	reviewed
3NVN	X-ray diffraction	2.26	O60486	473	1568.0	30.165816326530614	reviewed
2REX	X-ray diffraction	2.3	O43157	120	2135.0	5.620608899297424	reviewed
2REX	X-ray diffraction	2.3	Q92730	196	232.0	84.48275862068965	reviewed
4RS1	X-ray diffraction	2.68	P04141	112	144.0	77.77777777777779	reviewed
4RS1	X-ray diffraction	2.68	P15509	281	400.0	70.25	reviewed
5CYK	X-ray diffraction	3.0	G0SFB5	495	495.0	100.0	reviewed
5CYK	X-ray diffraction	3.0	G0SCK6	369	801.0	46.06741573033708	reviewed
1U7F	X-ray diffraction	2.6	P84022	198	425.0	46.588235294117645	reviewed
1U7F	X-ray diffraction	2.6	Q13485	239	552.0	43.29710144927536	reviewed
5E6P	X-ray diffraction	3.215	B2RXS4	617	1842.0	33.496199782844734	reviewed
5E6P	X-ray diffraction	3.215	O15085	84	1522.0	5.519053876478318	reviewed
2GYK	X-ray diffraction	1.6	P13479	86	86.0	100.0	reviewed
2GYK	X-ray diffraction	1.6	P09883	133	582.0	22.852233676975946	reviewed
1KIQ	X-ray diffraction	1.85	P01635	95	115.0	82.6086956521739	reviewed
1KIQ	X-ray diffraction	1.85	P00698	129	147.0	87.75510204081633	reviewed
1KIP	X-ray diffraction	2.1	P01635	95	115.0	82.6086956521739	reviewed
1KIP	X-ray diffraction	2.1	P00698	129	147.0	87.75510204081633	reviewed
1KIR	X-ray diffraction	2.0	P01820	96	115.0	83.47826086956522	reviewed
1KIR	X-ray diffraction	2.0	P00698	129	147.0	87.75510204081633	reviewed
1REW	X-ray diffraction	1.863	P12643	114	396.0	28.78787878787879	reviewed
1REW	X-ray diffraction	1.863	P36894	129	532.0	24.24812030075188	reviewed
1EMV	X-ray diffraction	1.7	P13479	86	86.0	100.0	reviewed
1EMV	X-ray diffraction	1.7	P09883	133	582.0	22.852233676975946	reviewed
1JTG	X-ray diffraction	1.73	P62593	263	286.0	91.95804195804196	reviewed
1JTG	X-ray diffraction	1.73	P35804	165	201.0	82.08955223880598	reviewed
1FR2	X-ray diffraction	1.6	P13479	86	86.0	100.0	reviewed
1FR2	X-ray diffraction	1.6	P09883	133	582.0	22.852233676975946	reviewed
1N8O	X-ray diffraction	2.0	P00766	131	245.0	53.46938775510204	reviewed
1N8O	X-ray diffraction	2.0	P23827	142	162.0	87.65432098765432	reviewed
1NCA	X-ray diffraction	2.5	P01865	100	398.0	25.125628140703515	reviewed
1NCA	X-ray diffraction	2.5	P03472	389	470.0	82.76595744680851	reviewed
1S1Q	X-ray diffraction	2.0	Q99816	145	390.0	37.17948717948718	reviewed
1S1Q	X-ray diffraction	2.0	P0CG48	76	685.0	11.094890510948906	reviewed
1XD3	X-ray diffraction	1.45	P15374	230	230.0	100.0	reviewed
1XD3	X-ray diffraction	1.45	P0CG48	75	685.0	10.948905109489052	reviewed
4CPA	X-ray diffraction	2.5	P00730	307	419.0	73.26968973747017	reviewed
4CPA	X-ray diffraction	2.5	P01075	38	39.0	97.43589743589743	reviewed
1KTZ	X-ray diffraction	2.15	P10600	112	412.0	27.184466019417474	reviewed
1KTZ	X-ray diffraction	2.15	P37173	122	567.0	21.516754850088184	reviewed
1LFD	X-ray diffraction	2.1	Q03386	87	895.0	9.720670391061452	reviewed
1LFD	X-ray diffraction	2.1	P01112	167	189.0	88.35978835978835	reviewed
1S0W	X-ray diffraction	2.3	P62593	263	286.0	91.95804195804196	reviewed
1S0W	X-ray diffraction	2.3	P35804	165	201.0	82.08955223880598	reviewed
2BTF	X-ray diffraction	2.55	P60712	374	375.0	99.73333333333333	reviewed
2BTF	X-ray diffraction	2.55	P02584	139	140.0	99.28571428571429	reviewed
2AJF	X-ray diffraction	2.9	Q9BYF1	597	805.0	74.16149068322981	reviewed
2AJF	X-ray diffraction	2.9	P59594	180	1255.0	14.342629482071715	reviewed
2A9K	X-ray diffraction	1.73	P11233	175	206.0	84.9514563106796	reviewed
2A9K	X-ray diffraction	1.73	P15879	211	251.0	84.06374501992032	reviewed
2C0L	X-ray diffraction	2.3	P50542	305	639.0	47.73082942097027	reviewed
2C0L	X-ray diffraction	2.3	P22307	122	547.0	22.30347349177331	reviewed
3N4I	X-ray diffraction	1.56	P0AD64	265	286.0	92.65734265734265	reviewed
3N4I	X-ray diffraction	1.56	P35804	165	201.0	82.08955223880598	reviewed
2FTL	X-ray diffraction	1.62	P00760	223	246.0	90.65040650406505	reviewed
2FTL	X-ray diffraction	1.62	P00974	58	100.0	57.99999999999999	reviewed
2G2U	X-ray diffraction	1.6	P0AD64	265	286.0	92.65734265734265	reviewed
2G2U	X-ray diffraction	1.6	P35804	165	201.0	82.08955223880598	reviewed
2G2W	X-ray diffraction	1.8	P0AD64	265	286.0	92.65734265734265	reviewed
2G2W	X-ray diffraction	1.8	P35804	165	201.0	82.08955223880598	reviewed
1EAW	X-ray diffraction	2.93	Q9Y5Y6	241	855.0	28.18713450292398	reviewed
1EAW	X-ray diffraction	2.93	P00974	58	100.0	57.99999999999999	reviewed
1FC2	X-ray diffraction	2.8	P38507	58	508.0	11.41732283464567	reviewed
1FC2	X-ray diffraction	2.8	P01857	223	399.0	55.88972431077694	reviewed
4YEB	X-ray diffraction	3.19	Q80TS3	297	1537.0	19.32335718932986	reviewed
4YEB	X-ray diffraction	3.19	Q8BGT1	358	649.0	55.1617873651772	reviewed
4YFD	X-ray diffraction	3.253	Q64487	491	1912.0	25.67991631799163	reviewed
4YFD	X-ray diffraction	3.253	Q61730	331	570.0	58.07017543859649	reviewed
4G0N	X-ray diffraction	2.45	P01112	166	189.0	87.83068783068782	reviewed
4G0N	X-ray diffraction	2.45	P04049	78	648.0	12.037037037037036	reviewed
1SBN	X-ray diffraction	2.1	P00782	275	382.0	71.98952879581152	reviewed
1SBN	X-ray diffraction	2.1	P01051	70	70.0	100.0	reviewed
1ACB	X-ray diffraction	2.0	P00766	245	245.0	100.0	reviewed
1ACB	X-ray diffraction	2.0	P01051	70	70.0	100.0	reviewed
1GUA	X-ray diffraction	2.0	P62834	167	184.0	90.76086956521739	reviewed
1GUA	X-ray diffraction	2.0	P04049	81	648.0	12.5	reviewed
1GCQ	X-ray diffraction	1.68	P62993	59	217.0	27.188940092165897	reviewed
1GCQ	X-ray diffraction	1.68	P27870	66	845.0	7.8106508875739635	reviewed
1E+96	X-ray diffraction	2.4	P63000	191	192.0	99.47916666666666	reviewed
1E+96	X-ray diffraction	2.4	P19878	203	526.0	38.59315589353612	reviewed
1SBB	X-ray diffraction	2.4	P01852	126	173.0	72.83236994219652	reviewed
1SBB	X-ray diffraction	2.4	P01552	239	266.0	89.84962406015038	reviewed
1X1X	X-ray diffraction	2.3	P00648	110	157.0	70.06369426751591	reviewed
1X1X	X-ray diffraction	2.3	P11540	89	90.0	98.88888888888889	reviewed
1B2S	X-ray diffraction	1.82	P00648	110	157.0	70.06369426751591	reviewed
1B2S	X-ray diffraction	1.82	P11540	90	90.0	100.0	reviewed
1B2U	X-ray diffraction	2.1	P00648	110	157.0	70.06369426751591	reviewed
1B2U	X-ray diffraction	2.1	P11540	90	90.0	100.0	reviewed
1X1W	X-ray diffraction	2.1	P00648	110	157.0	70.06369426751591	reviewed
1X1W	X-ray diffraction	2.1	P11540	90	90.0	100.0	reviewed
1B3S	X-ray diffraction	2.39	P00648	110	157.0	70.06369426751591	reviewed
1B3S	X-ray diffraction	2.39	P11540	90	90.0	100.0	reviewed
2VLN	X-ray diffraction	1.6	P13479	86	86.0	100.0	reviewed
2VLN	X-ray diffraction	1.6	P09883	133	582.0	22.852233676975946	reviewed
2VLP	X-ray diffraction	2.0	P13479	86	86.0	100.0	reviewed
2VLP	X-ray diffraction	2.0	P09883	133	582.0	22.852233676975946	reviewed
2WPT	X-ray diffraction	1.78	P04482	86	86.0	100.0	reviewed
2WPT	X-ray diffraction	1.78	P09883	133	582.0	22.852233676975946	reviewed
2,00 HRK	X-ray diffraction	2.05	P46655	191	708.0	26.9774011299435	reviewed
2,00 HRK	X-ray diffraction	2.05	P46672	122	376.0	32.4468085106383	reviewed
3BP8	X-ray diffraction	2.85	P50456	406	406.0	100.0	reviewed
3BP8	X-ray diffraction	2.85	P69786	75	477.0	15.723270440251572	reviewed
3D5R	X-ray diffraction	2.1	P01024	292	1663.0	17.558628983764283	reviewed
3D5R	X-ray diffraction	2.1	A6QG59	65	165.0	39.39393939393939	reviewed
2VLO	X-ray diffraction	1.8	P13479	86	86.0	100.0	reviewed
2VLO	X-ray diffraction	1.8	P09883	133	582.0	22.852233676975946	reviewed
